Quarter,payoutRatio,debtEquityRatio,netMargin,roic,dividendsPaid,Underyling,DivGrowth
6/30/2015,2.197343615,-12.41024689,0.049282429,0.203966817,10141389,ABT.TO,
6/30/2016,0.951948476,-3.623126987,0.109559071,0.143916481,9261204,ABT.TO,-8.68%
6/30/2017,-1.914060031,-2.830230462,-0.054282942,0,9476850,ABT.TO,2.33%
6/30/2018,3.236380504,-2.717077183,0.033227859,0,10067904,ABT.TO,6.24%
12/31/2014,-3.555831266,10.14050855,-0.01632372,0.003201708,143300000,AIM.TO,
12/31/2015,1389,26.38513136,4.06E-05,0.061710574,138900000,AIM.TO,-3.07%
12/31/2016,-2.069381599,-21.92960559,-0.037685443,-0.127113813,137200000,AIM.TO,-1.22%
12/31/2017,-0.128280961,-7.717788117,-0.166523024,-0.091509434,34700000,AIM.TO,-74.71%
4/30/2015,-0.021416041,0.364748786,-11.26855651,0,647000,ALS.TO,
4/30/2016,-0.124506032,0.285237951,-3.433059622,0,4789000,ALS.TO,640.19%
4/30/2017,-0.080226929,0.356980362,-2.57435409,0,5204000,ALS.TO,8.67%
12/31/2017,0.193403216,0.388978502,0.602207754,0.035889937,5286000,ALS.TO,1.58%
12/31/2014,0.891271352,2.509518853,0.026557837,0,32297000,BDT.TO,
12/31/2015,1.503444744,3.295088682,0.014868432,0,32297000,BDT.TO,0.00%
12/31/2016,1.291776658,3.997267158,0.015725834,0,32297000,BDT.TO,0.00%
12/31/2017,1.539938027,3.53769047,0.008190694,0,17891000,BDT.TO,-44.60%
10/31/2014,0.432779986,17.69113932,0.242158306,0.047625507,1851000000,BMO.TO,
10/31/2015,0.488558352,16.63722293,0.232731533,0.042955506,2135000000,BMO.TO,15.34%
10/31/2016,0.480095197,16.78470778,0.227999211,0.045205018,2219000000,BMO.TO,3.93%
10/31/2017,0.375841436,16.58338735,0.248906265,0.048954457,2010000000,BMO.TO,-9.42%
12/31/2014,2.915482057,0.641910082,0.128404656,14.24893297,113007000,BNE.TO,
12/31/2015,-7.005176211,0.986544255,-0.049359898,1.473264835,63607000,BNE.TO,-43.71%
12/31/2016,-1.649347421,1.110671835,-0.150565204,-7.629858112,39807000,BNE.TO,-37.42%
12/31/2017,15.95011971,1.2058382,0.013283225,27.22,39971000,BNE.TO,0.41%
10/31/2014,0.461745156,16.82319582,0.32286197,0.049732088,3265000000,BNS.TO,
10/31/2015,0.485600228,16.3597433,0.317275071,0.044862532,3406000000,BNS.TO,4.32%
10/31/2016,0.505550091,15.9227643,0.297309717,0.055423193,3598000000,BNS.TO,5.64%
10/31/2017,0.474328545,14.97260322,0.321408496,0.046492478,3797000000,BNS.TO,5.53%
3/31/2015,-2.554156553,3.555306991,-0.015200516,0.045389877,33674000,CF.TO,
3/31/2016,-0.080427705,4.897949247,-0.461006735,-0.044855205,28831000,CF.TO,-14.38%
3/31/2017,0.290685773,7.917232412,0.04401872,0.066946696,11076000,CF.TO,-61.58%
3/31/2018,1.761133292,4.979956301,0.012966429,0.106989466,22937000,CF.TO,107.09%
10/31/2014,0.513983841,22.52217421,0.258973121,0.066728041,1654000000,CM.TO,
10/31/2015,0.490212528,21.69724951,0.273290027,0.055356792,1753000000,CM.TO,5.99%
10/31/2016,0.41005848,21.25685297,0.305706522,0.066580428,1753000000,CM.TO,0.00%
10/31/2017,0.303256012,18.2648266,0.304122711,0.062193265,1425000000,CM.TO,-18.71%
12/31/2014,0.335819532,0.746157899,0.22039452,0.717278413,20216000000,CNU.TO,
12/31/2015,1.008544898,0.720962281,0.117987121,0.309970523,20419000000,CNU.TO,1.00%
12/31/2016,22.21821036,0.66770231,0.00436158,-0.099332563,14153000000,CNU.TO,-30.69%
12/31/2017,0.666531588,0.624367393,0.13239018,0.732118337,16448000000,CNU.TO,16.22%
12/31/2014,0.822207996,4.515604374,0.061759589,0,84768000,CSU.TO,
12/31/2015,0.478245171,3.860383892,0.096419046,0,84768000,CSU.TO,0.00%
12/31/2016,0.409935005,3.116773659,0.09730618,13.90430307,84768000,CSU.TO,0.00%
12/31/2017,0.381892885,2.787951225,0.089524127,0,84768000,CSU.TO,0.00%
1/3/2015,0.23410596,1.837586242,0.048463841,2.154045307,141400000,CTC.TO,
1/2/2016,0.230815893,1.841756437,0.053698818,4.163527054,152200000,CTC.TO,7.64%
12/31/2016,0.235390823,1.936884947,0.052763978,3.764705882,157500000,CTC.TO,3.48%
12/30/2017,0.230884354,2.115716571,0.05470826,4.12302521,169700000,CTC.TO,7.75%
10/31/2014,0.321300188,12.07531206,0.411891296,0.107850819,73918000,CWB.TO,
10/31/2015,0.22961184,11.71764711,0.560294343,0.096806213,74670000,CWB.TO,1.02%
10/31/2016,0.438199742,11.01554905,0.325465072,0.09597861,82545000,CWB.TO,10.55%
10/31/2017,0.398539341,10.92127484,0.338233313,0.122704377,91077000,CWB.TO,10.34%
12/31/2014,1.375364682,1.413003768,0.078377306,4.937217739,32057000,DR.TO,
12/31/2015,0.588919303,1.014567029,0.152624215,5.449186547,27754000,DR.TO,-13.42%
12/31/2016,2.704018864,1.871769698,0.028732856,5.840168154,26375000,DR.TO,-4.97%
12/31/2017,1.297087755,1.828667429,0.053556831,6.605215571,26768000,DR.TO,1.49%
12/31/2014,0.059551887,1.532885906,0.443572643,12.2642487,202000000,ECA.TO,
12/31/2015,-0.029428848,1.531863143,-1.348563969,1.318435754,152000000,ECA.TO,-24.75%
12/31/2016,-0.054025424,1.39193601,-0.295646727,-12.18918919,51000000,ECA.TO,-66.45%
12/31/2017,0.068923821,1.269173603,0.20878566,0,57000000,ECA.TO,11.76%
12/31/2014,0.251094968,3.010777928,0.062135342,0.054277391,4701000,EFH.TO,
12/31/2015,0.780528302,4.083510653,0.035027335,0.029330169,5171000,EFH.TO,10.00%
12/31/2016,-0.094404187,4.794598804,-0.151531172,0.043620011,2814000,EFH.TO,-45.58%
12/31/2017,0,3.108316646,0.006809383,0.014259542,0,EFH.TO,-100.00%
12/31/2014,0.159307708,19.24846424,0.49562972,0.750150109,17001000,EQB.TO,
12/31/2015,0.106622175,20.35973293,0.492766957,0.977960371,13420000,EQB.TO,-21.06%
12/31/2016,0.126631967,19.89451389,0.455977849,0.56001139,17517000,EQB.TO,30.53%
12/31/2017,0.122901063,18.29660742,0.461748767,0,19740000,EQB.TO,12.69%
12/31/2014,0.166911585,3.156010047,0.16302818,0.118599725,272600000,FFH.TO,
12/31/2015,0.46750044,3.296297124,0.060755565,0.024618217,265400000,FFH.TO,-2.64%
12/31/2016,-0.530341463,3.720187163,-0.055109897,-0.013248755,271800000,FFH.TO,2.41%
12/31/2017,0.162013099,3.661395043,0.114467973,0.044405604,282000000,FFH.TO,3.75%
12/31/2014,0.85004686,0.018029658,0.241184448,0,90700000,FNV.TO,
12/31/2015,3.825203252,0.161650332,0.055782313,0.478873239,94100000,FNV.TO,3.75%
12/31/2016,0.966448445,0.01811166,0.200426439,0,118100000,FNV.TO,25.50%
12/31/2017,0.646122239,0.017617681,0.289430653,0,125800000,FNV.TO,6.52%
12/31/2014,1.139167758,0.773111993,0.123638457,2.488564781,31318000,FSZ.TO,
12/31/2015,1.36998299,0.814062046,0.10692408,4.194143458,37854000,FSZ.TO,20.87%
12/31/2016,2.369350724,1.066767214,0.060626486,0,49228000,FSZ.TO,30.05%
12/31/2017,5.464530035,1.034358572,0.023366062,5.360661269,58312000,FSZ.TO,18.45%
12/31/2014,0.371069182,1.474425153,0.045967042,0,118000000,FTT.TO,
12/31/2015,-0.770186335,1.491707317,-0.025657371,2.896825397,124000000,FTT.TO,5.08%
12/31/2016,1.892307692,1.582851131,0.011549396,0,123000000,FTT.TO,-0.81%
12/31/2017,0.56561086,1.593988793,0.035275339,0,125000000,FTT.TO,1.63%
12/31/2014,-0.225821379,0.630365566,-0.628928987,-0.532544379,488000000,G.TO,
12/31/2015,-0.089006495,0.667808219,-0.950171429,-1.404211608,370000000,G.TO,-24.18%
12/31/2016,0.598765432,0.602459933,0.046153846,0.082255083,97000000,G.TO,-73.78%
12/31/2017,0.094224924,0.528835307,0.192229039,-0.160027009,62000000,G.TO,-36.08%
12/31/2014,0.058362663,1.300022569,0.128764667,0,3814000,HBM.TO,
12/31/2015,-0.010874157,1.506355991,-0.374050704,0,3604000,HBM.TO,-5.51%
12/31/2016,-0.101355383,1.527521364,-0.031180726,0,3567000,HBM.TO,-1.03%
12/31/2017,0.02248946,1.167992613,0.120288165,12.98822227,3686000,HBM.TO,3.34%
12/31/2014,0.762527233,0.283344268,0.228190756,0,14000000,ISV.TO,
12/31/2015,0.879562732,0.558484481,0.203235527,0,14000000,ISV.TO,0.00%
12/31/2016,0.903051022,0.470214171,0.175422914,0,14000000,ISV.TO,0.00%
12/31/2017,0.503796466,0.652624289,0.296916403,0,14000000,ISV.TO,0.00%
