Underyling,payoutChange,divGrowth,payoutAvg,debtEquityAvg,netMarginAvg
GSB,0.687735726,0.126338303,0.505223181,0.698970083,0.099254437
ISR,0.073602563,0.011537497,-0.002369471,0.122606712,-1.027093007
AAON,0.05244834,0.124959326,0.249161849,0.266136003,0.133666999
JMP,-43.35649138,0.242131026,-15.52776633,9.088466198,-0.038712606
ACGL,0.459870753,0.306578624,0.051887815,2.890535999,0.133948678
ACTG,-0.580902839,0.01577539,-0.158926741,0.086953809,-0.431617151
ADI,0.070542371,0.099816357,0.709384483,0.671639969,0.19903512
ADP,0.013726299,0.046921129,0.62088014,8.937853307,0.129854428
ADTN,0.392462248,-0.044755649,0.739021357,0.351128708,0.040714804
HP,-2.698252219,0.050792721,-2.318325225,0.501390599,0.008981837
AGNC,-1.293914151,-0.144846715,2.738926425,6.976777332,0.793293206
ALGT,0.273238499,0.424430241,0.166966683,2.796336652,0.155242226
AMAT,-0.334484651,-0.038567836,0.245625113,1.035578664,0.17925666
AMGN,1.155401988,0.222700823,0.811296604,1.770064059,0.247604399
AMRB,0.217646943,0,0.283888149,6.888550583,0.222070477
AMSF,0.030815294,0.239795484,0.169722498,2.402368304,0.164986594
AMTD,0.092089786,0.12998385,0.421848593,4.471610687,0.250936451
ANCX,0.167274658,0.22912755,0.45273082,8.828361348,0.203223423
BAK,-10.99824143,0.881359098,-1.483479185,20.80158501,0.046094212
ARCB,0.650623544,0.292290486,0.245583539,1.127195703,0.014952461
ARII,-0.019323761,-0.036491141,0.296856338,1.570237731,0.187304075
ASML,0.111032095,0.25398328,0.235089621,0.625234728,0.244170718
ASTE,0.036872722,0.002141133,0.230501714,0.29062522,0.03777738
ATNI,0.663693199,0.035644233,1.156284304,0.463022627,0.046528387
ATVI,1.096717138,0.154279451,0.404605441,0.927205671,0.125448033
LM,-4.478453244,0.131737513,-0.871406567,0.858312977,0.053363682
AY,2.786570832,1.949691925,-2.953327454,4.662758489,-0.125832287
BBBY,0.570415536,0.151436141,0.112540881,1.494020035,0.053336525
STC,-13.00887287,2.424256967,-0.60764592,1.083298518,0.016459187
BCBP,0.025018937,0.118051732,0.783590708,12.40778642,0.133464712
BFIN,2.892373241,0.485876752,0.501822931,6.752713065,0.150840237
BGCP,0.770575223,0.240452011,1.877317217,4.607895387,0.04673291
BHF,1.810045576,0,-1.253864897,13.61268488,-0.304988487
BKEP,0.217512547,0.100122053,0.243013268,0.681636154,0.035903757
BLCM,0,0,0,0.341157552,-282.2383055
BLFS,0.370051393,0,-0.027637413,0.667255961,-0.572448416
BPOP,4.08767306,2.350305368,0.405487227,6.77210632,0.24127756
NOK,-2.220658875,0.351611281,-0.548416175,1.239401585,0.033130747
AIG,-0.460922305,0.21089266,-0.446843803,5.565398838,-0.033883353
CAAS,0.925557607,0.579365079,0.016683537,1.154051067,0.023901608
CALM,0.261672254,1.47274586,0.382678197,0.213502551,0.060082427
VEON,-14.45404429,2.450319403,-0.37979693,4.694209925,0.047615482
GSM,-1.074166752,0.547752108,-0.329449401,1.241110446,-0.082661955
CBTX,-0.07022276,-0.008317823,0.169153819,6.843297252,0.232317268
CCNE,0.011106967,0.020011357,0.438821455,10.60736455,0.230593377
CGNX,0.122510798,0.182527288,0.143001237,0.109971554,0.313104476
CHFN,-0.247831523,-0.028930373,0.35093422,5.583158235,0.174632228
CHMG,0.06041309,0.008340276,0.553537776,10.57680327,0.128457397
CIZN,0.337526971,0.026781987,0.854081628,10.51487938,0.169705765
CLRO,0.5409958,0.354955237,0.264862066,0.156836667,-0.057173621
CY,-0.738779003,0.476582706,-0.271948932,0.822786436,-0.210903907
ABC,-0.370126475,0.143417004,-0.252358792,25.08985665,0.003695851
RGLD,-1.8124381,0.045822874,-0.24105349,0.316321268,-0.077752823
CRESY,3.903714274,2.987488719,0.282065826,12.30632684,0.164967231
CSCO,31.28909215,0.135213901,18.42346111,1.131328045,0.140153525
BRFS,-10.1171361,0.155963903,-0.240736389,2.51728814,0.01732
CTAS,0.064998047,0.20344358,0.223635244,1.501056005,0.12166943
TER,-2.405893382,0.151401505,-0.21964435,0.46628166,0.073925038
CTRN,0.318775556,0.386531083,0.223211709,0.510160701,0.020393616
CTSH,-0.011872835,0,0.170003875,0.387937917,0.115833298
CVBF,0.106073164,0.105586096,0.516060029,7.063519507,0.334593803
CWCO,0.129868752,0.004294318,0.81334732,0.073822275,0.099559949
GLW,-2.67949483,0.036042952,-0.209401364,0.699526873,0.163779614
CZNC,0.077783634,-0.007253836,0.739104395,5.66013749,0.267501574
DAKT,3.104762458,-0.089171015,3.967188108,0.782874696,0.010119029
DGICA,0.985384431,0.030492394,1.076292188,2.77982085,0.029117905
DMRC,0,0,0,0.080777329,-0.941605838
EBSB,0.641764598,1.150160459,0.139169062,6.165235829,0.250992338
EFSC,0.127995532,0.356188221,0.172528244,9.156925114,0.272787069
EMCI,0.074106341,0.126636872,0.363930835,1.860885664,0.070639126
EQBK,-0.770313271,-0.76996117,0.010201404,8.124914493,0.18673503
ERIC,2.195433568,-0.161982609,2.581284672,1.189264325,-0.037436649
ERIE,0.020008485,0.069966632,0.704195917,0.8893328,0.121409118
ESCA,0.024073896,0.077759639,0.513217492,0.456648145,0.074153846
ESSA,0.171696784,0.115087738,0.4563206,8.733585929,0.162799591
ETFC,-0.174062123,0,0.05976335,7.714524511,0.218993762
C,-1.230759058,0.821645319,-0.110836277,7.99968337,0.126487097
EXPE,0.764329225,0.278519335,0.37992935,2.403069723,0.061422963
FANH,-0.180903202,0,0.610772068,0.207417865,0.077924388
FCBC,0.114739294,0.046786995,0.456040593,6.008969534,0.214412354
AGN,-6.316068838,1.237845582,-0.074513543,0.736653734,0.359138123
FFIN,0.019658969,0.123223457,0.407169258,7.089721473,0.359622386
FGBI,0.058647241,0.056308161,0.369399122,11.19165967,0.246670274
FHB,0.696228415,0.787410156,1.355086309,6.708153734,0.303149149
MOV,-0.881283681,0.059275258,-0.07163346,0.327129136,0.037473714
SMHI,-9.137933502,3.6125,-0.067708907,0.856287092,-0.291851638
HL,-2.510779593,0.033778928,-0.059441805,0.618650218,-0.043035392
DXC,-1.560238455,0.264423077,-0.040143975,2.58237848,0.030153116
FRBA,0.008082929,0,0.205115667,10.14408705,0.193156447
FRME,0.233395502,0.438436891,0.281523941,6.712243315,0.273903586
PXD,-2.197826516,0.053418803,-0.016843539,0.633047231,-0.031986433
RNR,-1.014469945,0.027947482,-0.002503707,1.711983315,0.155520626
FTEO,-1.01838557,0.003667631,-0.189460794,2.179217291,-0.061540918
FULT,0.050018147,0.080226554,0.444798968,7.896860826,0.226376609
RACE,-0.1139332,0.126881844,0.247996601,-46.62921651,0.128648644
GBNK,0.066607644,0.532173392,0.388365787,8.791734289,0.243823655
GGAL,0.410255027,0.897003066,0.025596361,9.516314721,0.240350546
GILD,0.212663814,0.155016009,0.142664276,2.059531352,0.392108284
GNTX,-4.076%,7.515%,28.767%,20.132%,21.333%
GOGL,0,0,0,0.900948455,-0.553763439
GOLD,0.248853991,0.348903236,0.251115837,0.080470691,0.202936693
GRFS,0.012732378,0.135320938,0.38079216,1.879790157,0.141135401
MPX,-0.047945658,0.295066233,0.442534467,0.319114,0.070225421
MKSI,-0.172956079,0.03098294,0.251204608,0.465888722,0.136081423
HBAN,0.059871185,0.294048981,0.36765551,9.879837151,0.247546202
HBCP,0.929682608,1.359550286,0.200280548,7.692498438,0.218416653
HBMD,3.700526411,0.158730159,0.070817893,9.764715126,0.090290416
NTES,-2.799%,25.139%,24.720%,48.050%,26.574%
HIMX,1.175612966,0.132623581,1.317891008,0.755870106,0.046882215
HNRG,-0.165440979,0.006529442,0.256547755,1.380309643,0.075825533
HOLI,-0.025943816,-0.13177453,0.114114169,0.458743171,0.191808553
HOPE,0.161325244,0.355044875,0.40696506,6.682220564,0.280586934
HQY,0,0,0,0.070679961,0.161750703
HTHT,-0.367690611,0,0.443332634,1.262891946,0.11669697
CBOE,-3.762%,22.316%,35.743%,54.389%,25.157%
HWC,0.077879719,-0.024015266,0.549285211,8.250933298,0.190511098
IAC,3.038291824,0.162916846,0.947468863,1.402410093,0.038676508
IBCP,0.246639469,0.297816956,0.350556008,9.120151664,0.171802332
IBKC,0.170481563,0.239115595,0.427604057,6.826463538,0.184500531
BSET,-0.014992923,0.149108207,0.229299435,0.555714417,0.041466283
APOG,-0.033999652,0.107456144,0.192988507,0.761736117,0.067835513
IDRA,0,0,0,0.099731437,-90.174277
IMOS,0.944555395,0.380375,0.703552529,0.777108588,0.109906551
MORN,-0.067272682,0.088828809,0.258874131,0.76404766,0.173288432
INDB,0.018221097,0.150687552,0.395261625,7.941387462,0.245046825
INTC,0.120752856,0.048060236,0.468213748,0.719296556,0.177663326
MDC,-0.209889736,0.020902963,0.52809386,0.938058397,0.044615095
INVA,3.629247333,-0.387951193,-1.545650366,-2.259684631,0.238516433
JCOM,0.085565056,0.12018392,0.466338742,1.221012837,0.161495844
JCS,-0.66997879,-0.284212072,-0.425476115,0.195927057,-0.104974714
JJSF,0.108207713,0.140809968,0.379280755,0.247667222,0.073813687
JRVR,-0.374697931,-0.150707618,0.34597656,2.457113262,0.095423077
KNSL,0.31958894,0.467652202,0.125550108,2.510943868,0.198149805
JNPR,-0.335526128,0.259786383,0.331708676,0.9761615,0.103377943
LECO,0.288502445,0.083303909,0.498644058,1.408558914,0.077267314
LFUS,0.092406684,0.14481079,0.27783684,0.715832224,0.096651212
LMNR,0.136229165,0.105859551,0.480373053,1.281108203,0.065682653
LMNX,0.399023971,0,0.352901625,0.10965646,0.100695024
FMX,-0.120624593,0.208953456,0.368150821,1.050781969,0.067255421
LPLA,-0.103694934,-0.018273235,0.469910188,4.919980451,0.047556179
LSTR,-0.171470909,-0.106264777,0.094321888,1.0738087,0.045441207
MBIN,0.018426854,0.375748238,0.160671581,13.29532291,0.437419601
MBTF,0.194692623,0.189873252,0.31982074,8.62856246,0.219558341
MCBC,0.158779403,0.324678073,0.305624868,10.01306508,0.220602445
MCHP,0.326651586,0.056560032,1.378598834,1.480827464,0.087195656
MELI,3.049758671,-0.003213373,0.766706263,2.760343961,0.111218977
MFSF,0.24334172,0.295725107,0.335951973,9.817362116,0.20167245
MHLD,0.24139506,0.129569177,0.532196501,5.582854886,0.002715218
INGR,-0.029586272,0.099086795,0.307357853,1.228797884,0.081845781
MKTX,0.011677106,0.269004034,0.314250833,0.127023274,0.343503172
MLHR,0.011312962,0.084376669,0.301431128,1.22154294,0.056179104
ATR,-0.006167539,0.040425165,0.364535197,1.244049864,0.087779706
BRO,-0.110987683,0.094161913,0.243601895,1.261028124,0.169362627
MPWR,0.3865399,0.566637434,0.666698612,0.202010875,0.126566766
WBA,-0.088532904,0.107765938,0.366997472,1.335888901,0.036950589
MRVL,-13.89801567,-0.009670309,1.953149331,0.20184922,-0.028799491
MSFT,0.059155897,0.087357079,0.588969221,1.890092305,0.213138848
MTCH,0.227449058,0,8.493724197,4.059531381,0.182936772
MTGE,-2.991753631,-0.236069277,-0.521263654,4.792283931,0.170173687
NAVG,0.867970265,0.229262087,0.086597557,3.176511722,0.058933116
NCBS,0.302325296,0.927350758,0.026418785,8.580280029,0.21697196
NCMI,2.516877181,0.043558015,10.26159639,-3.517832852,0.025583842
NDAQ,2.39504428,0.431345021,1.099991346,1.467343997,0.113346991
NGHC,1.193015618,1.364246017,0.263096205,3.673960082,0.043131239
NICE,-0.061104649,-0.248720064,0.180576101,0.558202941,0.16731595
NKSH,0.075578412,0.012086259,0.539570526,5.903900655,0.323973729
