Underyling,payoutChange,divGrowth,payoutAvg,debtEquityAvg,netMarginAvg
ABT.TO,-2.089431668,-0.000379432,0.75808965,-3.056811544,0.029501329
AIM.TO,-131.1884865,-0.263342795,462.2674458,-1.087420784,-0.068055942
ALS.TO,0.349113668,2.168089582,-0.003776582,0.343732272,-1.801735319
BDT.TO,0.246057982,-0.14868254,1.445053143,3.610015437,0.01292832
BMO.TO,-0.035197031,0.032862757,0.448164995,16.66843935,0.23654567
BNE.TO,-4.94595586,-0.269064613,2.43186536,1.101018097,-0.062213959
BNS.TO,0.010329391,0.051621638,0.488492955,15.75170361,0.311997761
CF.TO,-0.174737904,0.103741207,0.657130453,5.931712654,-0.134673862
CM.TO,-0.156738197,-0.042417639,0.401175673,20.40630969,0.294373086
CNU.TO,7.354400222,-0.044891022,7.964428949,0.671010661,0.08491296
CSU.TO,-0.209860566,0,0.423357687,3.255036259,0.094416451
CTC.TO,-0.00445923,0.062887329,0.23236369,1.964785985,0.053723685
CWB.TO,0.177520948,0.07299976,0.355450308,11.218157,0.407997576
DR.TO,0.833124421,-0.05633857,1.530008641,1.571668052,0.078304634
ECA.TO,-0.978046615,-0.264783793,-0.004843484,1.397657585,-0.478475012
EFH.TO,0.493774644,-0.177916264,0.343062058,3.995475368,-0.036564818
EQB.TO,-0.057502676,0.073853745,0.118718401,19.51695141,0.470164524
FFH.TO,-0.546340244,0.011743271,0.033057359,3.55929311,0.04003788
FNV.TO,0.807065704,0.119244341,1.812591312,0.065793225,0.181879802
FSZ.TO,0.746144229,0.23123241,3.067954583,0.971729277,0.063638876
FTT.TO,-2.411211582,0.019681035,0.562577406,1.556182414,0.007055788
G.TO,-3.058566547,-0.446821953,0.201327954,0.599701153,-0.237262848
HBM.TO,1.970850138,-0.010655102,-0.02991336,1.400623323,-0.094981088
ISV.TO,-0.087309726,0,0.76213674,0.560440981,0.225191615
JE.TO,-2.696505239,0.016972264,0.499328975,2.336502497,0.091661129
L.TO,-0.600204457,-0.123414647,0.448570614,1.682137767,0.022175702
LB.TO,0.052513663,0.10646901,0.480128664,25.08898654,0.168953513
LUC.TO,0.330968404,0.347700891,0.28410267,0.425368303,0.293960051
MAXR.TO,-0.123831382,0.021419621,0.411458302,2.177957698,0.065604319
MIC.TO,-0.04618023,0.062661193,0.351315339,0.794855115,0.546309719
NA.TO,-0.062921026,0.049568959,0.469001927,22.00532306,0.268669952
OR.TO,18.33743536,0.273075153,0.083693602,0.216329635,0.36853361
OTEX.TO,1.127786805,0.18504093,0.355880874,1.270422483,0.2298878
PAAS.TO,-0.140763497,-0.084559063,0.006189816,0.329945978,-0.019543544
RY.TO,-0.0051053,0.080379483,0.468219825,17.27876245,0.286225324
SLF.TO,0.040829683,0.093682053,0.444782091,11.79218158,0.095104535
SNC.TO,0.934324527,0.068898069,0.483266132,1.578371107,0.037756039
STN.TO,0.419805721,0.181998243,0.390186146,0.994352351,0.045461132
TCW.TO,-0.996955597,-0.500480179,-0.027019452,0.777127918,-0.449855351
TD.TO,-0.002740726,0.097274006,0.424014965,16.68190058,0.282722042
TWM.TO,1.369222271,2.303633123,0.623661616,0.698070052,0.196075661
VB.TO,-0.234088384,0.069337724,0.19820029,9.383688252,0.301371196
WCP.TO,-2.327110754,-0.098953899,-0.196390168,0.698912169,-0.253018558
WJA.TO,0.027639329,0.022177268,0.215047009,1.848654855,0.075265323
X.TO,-1.521430123,0.078069236,-0.303759446,6.248451728,0.22913163
YRI.TO,0.601911401,-0.477156503,-0.071420866,0.965810176,-0.503037028
M.V,0.921779807,0.038639509,2.850270884,-1.737737273,0.024354144
