,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
ABT.TO,0.03221476,0.15987647,,,2.0,1.442919,,3.0,-1.406,,6.0,7.65,0.607,1536019200,,,,5996211,0.064050004,46.171,2.957,276852224,USD,,24604649,0.17,45.0,19870880,495.0,,,0.84432,79046749,,,Software - Application,,,1530316800,1199232000,2/1,,1,86400,,,1530316800,3110853,1593475200,8,12549655,0.030739998,4.0,,2,,,0.03323,0.03323,0.58,hold,2.8,0.01842,,0.038,2.339,,Technology,6.0,40269800,0.0577,2301761,1533081600,2301322,,56.69,8.14,5.81,6.59,6.2,,,34329304,0.854,0,93621832,0.078,,
AIM.TO,0.7029289,0.15987647,,,2.0,4.391861,,9.0,-1.253,,1.0,4.17,0.308,1536019200,,,,182700000,0.111260004,3.399,0.378,621020992,CAD,,151748229,0.73,5.712329,42912500,2900.0,,,0.3719,620100000,,,Business Services,,,1514678400,,,,1,86400,,,1530316800,-96000000,1577750400,7,255400000,0.0038400001,2.0,1.39,2,,,-0.1355,-0.1355,0.274,hold,3.0,0.00101,,0.039,10.781,,Industrials,2.0,152307008,0.0126,1919833,1533081600,2099015,,1.25,5.0,0.75,3.79,4.75,,,343500000,2.255,329400000,1642099968,-1.574,,
ALS.TO,0.028156996,0.15987647,,,2.0,1.874683,,6.0,7.881,,3.0,12.13,2.601,1536019200,29.868,2.0,1.996,33778000,0.67096,19.214,12.892,649019648,CAD,,40659722,0.51,23.784315,,18.0,,,0.87641996,39843000,,,Industrial Metals & Minerals,,,1514678400,,,,1,86400,,,1530316800,31620500,1577750400,4,,0.40849,5.0,,2,1.5391448,,0.62811,0.62811,2.601,buy,2.0,,,0.485,1.174,,Basic Materials,9.0,43099500,0.0208,887391,1533081600,873829,,19.05,18.5,16.0,17.13,17.0,,,65692000,1.52,122537000,50342500,0.735,,
BDT.TO,-0.1956746,0.15987647,,,2.0,0.716526,,8.0,3.146,,1.0,7.61,1.14,1536019200,79.651,,,10230000,0.0074699996,34.51,0.258,353036896,CAD,,40797046,0.61,12.4754095,-54102376,1641.0,,,0.045089997,74447000,,,Engineering & Construction,,,1514678400,1302566400,3/1,,1,86400,,,1530316800,-1086000,1577750400,4,-40660000,-0.0012800001,4.0,-70.09,2,2.4189448,,-0.00079,-0.00079,1.127,buy,1.8,-0.0016,-0.00748,-0.086,32.194,,Industrials,2.0,42516900,0.0148,574638,1533081600,550685,,8.71,11.0,9.0,10.0,10.0,,,71114000,1.673,106550000,1368790016,-0.03,,
BMO.TO,0.15069687,0.15987647,,,1.0,0.794296,,1.0,63.313,,1.0,106.42,,1536019200,,0.127,0.107,,0.0,,-2.364,-52131749888,CAD,,639270717,7.42,14.342318,,45200.0,,,0.0,21486000000,,,Banks - Global,,,1509408000,983404800,2/1,,1,86400,,,1532995200,4792999936,1572480000,13,-12997999616,0.33043,1.0,2.23,2,1.6808554,,0.22591,0.22591,,buy,2.1,0.00676,0.11363,0.056,34.191,,Financial Services,1.0,639929984,0.02,12820908,1533081600,9936651,,9.93,95.61,81.95,88.2,88.02,,,262354993152,409.975,137114001408,22052999168,7.399,,
BNE.TO,0.18964398,0.15987647,,,2.0,2.775732,,10.0,15.13,,9.0,18.21,0.516,1536019200,64.569,1.997,1.997,128289000,0.62403,7.219,4.505,926098752,CAD,,26656298,0.9,20.233334,25270000,37.0,,,0.67754996,126593000,,,Oil & Gas E&P,,,1514678400,,,,1,86400,,,1530316800,11373000,1577750400,16,113748000,0.15640001,10.0,,2,1.203569,,0.055320002,0.055320002,0.393,buy,2.2,0.01731,0.022,0.234,6.172,,Energy,6.0,33310800,0.0738,2459796,1533081600,2183914,,22.49,24.0,17.0,21.29,21.25,,,241000,0.007,325412992,205580992,0.341,,
BNS.TO,-0.026312351,0.15987647,,,1.0,1.29652,,1.0,49.322,,3.0,75.43,,1536019200,,-0.071,-0.03,,0.0,,-1.386,-35462483968,CAD,,1221056849,5.66,13.326856,,96988.0,,,0.0,24906000000,,,Banks - Global,,,1509408000,1080864000,2/1,,1,86400,,,1532995200,8232999936,1572480000,12,-22603999232,0.42686,1.0,2.44,2,1.5293379,,0.32773,0.32773,,buy,2.4,0.0092,0.13609,-0.013,21.239,,Financial Services,1.0,1231740032,0.0239,29466768,1533081600,29418956,,19.48,72.44,62.42,67.01,67.43,,,256607993856,208.33,122170998784,25582000128,6.743,,
CF.TO,0.536036,0.15987647,,,2.0,0.149459,,4.0,6.362,,7.0,6.9,1.176,1536019200,17.67,,,,0.0,,-0.317,-341442752,CAD,,85621620,0.59,11.694916,,2038.0,,,0.88091004,879885000,,,Capital Markets,,,1522454400,,,,1,86400,,,1530316800,23498000,1585612800,2,249896992,0.06862,3.0,0.87,2,1.0845646,,0.03053,0.03053,1.076,buy,2.0,0.00976,0.04818,0.375,11.598,,Financial Services,2.0,98836704,0.0159,1806608,1533081600,1038900,,11.51,6.94,6.94,6.94,6.94,,,1365110016,14.146,147516992,1077606016,0.211,,
CM.TO,0.14168453,0.15987647,,,1.0,1.188977,,1.0,72.416,,1.0,122.56,,1536019200,,0.158,0.249,,0.0,,5.552,93368827904,CAD,,443550887,9.68,12.661157,,45091.0,,,0.0,15451000000,,,Banks - Global,,,1509408000,859248000,2/1,,1,86400,,,1532995200,5071000064,1572480000,15,-5603999744,0.39123002,1.0,2.33,2,1.6924436,,0.30685,0.30685,,buy,2.5,0.00896,0.16043,0.106,38.073,,Financial Services,1.0,443696992,0.0207,9198965,1533081600,8778747,,10.28,111.74,90.16,102.34,104.03,,,83910000640,189.115,120249999360,16816000000,11.442,,
CNU.TO,0.5609958,0.15987647,,,,2.014476,,,134.8,,,225.72,2.631,1536019200,33.908,0.583,0.568,18134360064,0.59747005,5.502,3.287,99768197120,CNY,,158735100,,,4995499008,18802.0,,,0.74761003,134471000000,,,Oil & Gas E&P,,,1514678400,,,,1,86400,,,1530316800,5153408000,1577750400,1,15852535808,0.27049,,,2,1.6744807,,0.16979,0.16979,2.414,buy,2.0,0.052010003,0.086840004,0.144,68.0,,Energy,,44647501824,0.0,2436,1533081600,2309,,18.47,6.0,6.0,6.0,6.0,,,21419536384,47.975,20409495552,30351816704,11.5,,
CSU.TO,0.36473072,0.15987647,,,2.0,-0.164081,,10.0,31.433,,9.0,935.75,0.725,1536019200,43.056,0.017,0.017,426844992,0.15274,46.717,7.136,19941042176,USD,,19655992,31.94,29.29712,620876608,14335.0,,,0.36812,937277000,,,Software - Application,,,1514678400,,,,1,86400,,,1530316800,264924000,1577750400,11,595897024,0.1489,10.0,1.71,2,29.769669,,0.094799995,0.094799995,0.636,hold,2.7,0.1117,0.44868,0.253,131.867,,Technology,6.0,21191500,0.0064,135662,1533081600,138670,,2.7,1007.6,720.82,856.28,891.33,,,343566016,16.212,286798016,2794514944,12.5,,
