,payoutChange,divGrowth,payoutAvg, debtEquityAvg ,netMarginAvg,roicAvg, debtToEquity ,52WeekChange,SandP52WeekChange,auditRisk, beta ,boardRisk, bookValue ,compensationRisk, currentPrice , currentRatio ,debtToEquity,earningsGrowth,earningsQuarterlyGrowth, ebitda ,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue, enterpriseValue ,financialCurrency, floatShares , forwardEps , forwardPE , freeCashflow , fullTimeEmployees ,grossMargins, grossProfits ,heldPercentInsiders,heldPercentInstitutions,industry,lastSplitDate,lastSplitFactor, netIncomeToCommon ,numberOfAnalystOpinions, operatingCashflow ,operatingMargins,overallRisk, pegRatio , priceHint , priceToBook ,profitMargins, quickRatio ,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth, revenuePerShare ,sector,shareHolderRightsRisk, sharesOutstanding ,sharesPercentSharesOut, sharesShort , sharesShortPriorMonth ,shortPercentOfFloat, shortRatio , targetHighPrice , targetLowPrice , targetMeanPrice , targetMedianPrice , totalCash , totalCashPerShare , totalDebt , totalRevenue , trailingEps 
BLFS,37.01%,0.00%,-2.76%, 0.67 ,-57.24%,0.00%, -   ,322.4%,15.2%,, 2.23 ,, 1.22 ,, 19.58 , 11.30 ,,,," 1,497,517.00 ",0.09924,223.475,22.177," 334,657,056.00 ",USD," 8,516,631.00 ", 0.29 , 67.52 ," 1,783,009.00 ", 40.00 ,64.940%," 6,746,473.00 ",33.41%,40.90%,Medical Instruments & Supplies,1390953600,14-Jan," (145,952.00)",4," 1,830,705.00 ",7.78%,,, 2.00 , 16.05 ,1.76%, 9.82 ,buy,1.8,4.85%,2.01%,102.40%, 1.07 ,Healthcare,," 16,461,700.00 ",2.19%," 391,109.00 "," 148,047.00 ",9.19%, 1.22 , 26.00 , 18.00 , 22.00 , 22.00 ," 14,166,604.00 ", 0.86 , -   ," 15,090,591.00 ", (0.01)
WWE,-82.98%,0.65%,123.83%, 1.30 ,4.13%,55.79%, 72.98 ,300.5%,15.2%,1, 1.41 ,8, 3.80 ,5, 86.41 , 1.34 ,72.981,83.3%,95.6%," 135,475,008.00 ",0.15622,49.145,7.678," 6,657,910,272.00 ",USD," 41,803,734.00 ", 1.32 , 65.46 ," 149,627,120.00 ", 850.00 ,44.189%," 347,450,000.00 ",1.24%,116.20%,Media - Diversified,,," 51,447,000.00 ",10," 159,543,008.00 ",11.85%,9, 5.44 , 2.00 , 22.76 ,5.93%, 1.24 ,buy,2.3,10.13%,19.23%,31.20%, 11.25 ,Consumer Cyclical,10," 43,369,500.00 ",8.77%," 6,838,485.00 "," 6,731,249.00 ",22.52%, 4.49 , 105.00 , 40.00 , 88.40 , 93.50 ," 341,550,016.00 ", 4.38 ," 213,732,000.00 "," 867,192,000.00 ", 0.63 
HWC,-28.14%,-34.93%,36.62%, 8.25 ,19.05%,3.09%, -   ,228.4%,15.2%,1, 1.05 ,1, 34.33 ,1, 51.00 ,,,36.5%,36.2%,,0,,6.219," 6,509,128,704.00 ",USD," 84,171,925.00 ", 4.26 , 11.97 ,," 3,780.00 ",0.000%," 1,001,125,000.00 ",0.88%,78.71%,Banks - Regional - US,1079654400,1-Feb," 252,960,992.00 ",10," 448,537,984.00 ",40.70%,1, 1.62 , 2.00 , 1.49 ,24.65%,,buy,2,0.95%,8.98%,7.80%, 12.30 ,Financial Services,5," 85,340,200.00 ",1.51%," 1,291,983.00 "," 1,604,372.00 ",1.69%, 2.59 , 60.00 , 54.00 , 58.10 , 58.50 ," 470,710,016.00 ", 5.52 ," 2,606,151,936.00 "," 1,046,657,984.00 ", 2.96 
FANH,-18.09%,0.00%,61.08%, 0.21 ,7.79%,3.45%, -   ,156.8%,15.2%,, 2.56 ,, 9.39 ,, 26.40 , 4.78 ,,18.2%,22.4%," 62,296,592.00 ",0.114870004,19.401,2.229," 1,208,639,872.00 ",CNY," 32,054,456.00 ", 1.62 , 16.30 ," (28,124,636.00)"," 3,504.00 ",29.869%," 1,029,066,000.00 ",16.09%,33.02%,Insurance Brokers,,," 82,439,632.00 ",2," 9,179,128.00 ",10.19%,, 3.79 , 2.00 , 2.81 ,15.17%, 4.64 ,buy,2,4.60%,13.88%,-4.00%, 8.46 ,Financial Services,," 65,009,600.00 ",1.33%," 867,365.00 "," 704,449.00 ",, 4.53 , 41.00 , 30.00 , 35.50 , 35.50 ," 424,517,312.00 ", 6.53 , -   ," 542,303,040.00 ", 1.28 
EC,-107.00%,-35.51%,-11.66%, 1.75 ,1.38%,153.31%, 79.12 ,138.9%,15.2%,, 1.73 ,, 8.32 ,, 22.52 , 1.45 ,79.117,170.0%,169.7%," 9,304,630,272.00 ",0.44818002,6.051,2.712," 56,302,981,120.00 ",COP," 233,686,734.00 ", 2.05 , 10.99 ," 3,620,128,256.00 ",,39.574%," 19,267,135,000,000.00 ",0.00%,3.20%,Oil & Gas Integrated,,," 3,781,528,064.00 ",11," 6,914,317,824.00 ",32.74%,, 0.78 , 2.00 , 2.71 ,18.22%, 1.11 ,underperform,3.8,10.53%,24.18%,29.20%, 10.10 ,Energy,," 41,116,700,672.00 ",0.46%," 9,357,188.00 "," 10,842,544.00 ",, 10.20 , 22.00 , 10.20 , 16.31 , 15.60 ," 4,284,037,376.00 ", 2.08 ," 14,051,816,448.00 "," 20,760,918,016.00 ", 1.84 
MTCH,-38.63%,-50.00%,283.12%, 4.06 ,18.29%,98.84%, 215.36 ,125.4%,15.2%,2, 0.39 ,10, 2.03 ,8, 54.65 , 1.54 ,215.355,165.1%,157.6%," 514,620,992.00 ",0.33181998,29.792,9.886," 15,331,588,096.00 ",USD," 50,342,075.00 ", 1.72 , 31.77 ," 249,848,624.00 "," 1,300.00 ",77.480%," 1,051,162,000.00 ",25.00%,96.10%,Internet Content & Information,,," 511,988,992.00 ",13," 411,351,008.00 ",30.94%,10, 1.45 , 2.00 , 26.87 ,32.94%, 1.32 ,buy,2.4,13.54%,83.00%,36.10%, 5.67 ,Technology,10," 66,974,500.00 ",9.45%," 26,154,991.00 "," 25,521,108.00 ",51.16%, 8.01 , 56.00 , 42.00 , 50.23 , 52.00 ," 309,760,992.00 ", 1.12 ," 1,254,264,960.00 "," 1,550,887,936.00 ", 1.73 
UVE,-0.26%,12.05%,17.98%, 2.18 ,16.07%,28.64%, 3.07 ,118.6%,15.2%,1, 1.04 ,8, 14.11 ,10, 45.00 , 0.76 ,3.071,57.3%,56.9%," 192,590,000.00 ",0.24291,6.82,1.657," 1,313,372,160.00 ",USD," 32,097,651.00 ", 4.28 , 10.51 ," 176,007,632.00 ", 558.00 ,53.907%," 401,488,000.00 ",7.90%,76.49%,Insurance - Property & Casualty,,," 132,489,000.00 ",1," 261,492,000.00 ",23.76%,8,, 2.00 , 3.19 ,16.71%, 0.36 ,hold,3,7.64%,29.02%,13.10%, 22.81 ,Financial Services,1," 34,872,100.00 ",5.87%," 2,045,553.00 "," 2,249,325.00 ",7.32%, 8.08 , 44.00 , 44.00 , 44.00 , 44.00 ," 311,088,000.00 ", 8.92 ," 15,114,000.00 "," 792,843,008.00 ", 3.73 
DS,-99.95%,-46.23%,62.70%, 5.96 ,6.25%,-82.05%, 110.33 ,113.4%,15.2%,2, 1.86 ,10, 1.36 ,7, 6.21 , 3.53 ,110.33,,," 11,264,000.00 ",0.03636,43.422,1.579," 489,104,384.00 ",USD," 58,398,007.00 ", (0.11), (56.45)," (101,317,248.00)"," 4,400.00 ",9.800%," 24,770,000.00 ",13.39%,58.37%,Leisure,1415318400,5575/1000," (51,221,000.00)",1," (11,554,000.00)",-4.93%,9, (5.25), 2.00 , 4.56 ,-14.73%, 1.54 ,hold,3,-1.40%,-25.93%,11.90%, 4.63 ,Consumer Cyclical,9," 66,977,100.00 ",2.77%," 1,853,191.00 "," 2,459,345.00 ",3.08%, 5.12 , 5.00 , 5.00 , 5.00 , 5.00 ," 134,934,000.00 ", 2.02 ," 168,630,000.00 "," 309,756,992.00 ", (0.77)
HQY,-100.00%,-100.00%,0.00%, 0.07 ,16.18%,43.71%, -   ,112.6%,15.2%,1, 1.56 ,1, 6.95 ,6, 97.32 , 19.90 ,,33.3%,32.9%," 81,831,000.00 ",0.31693,68.887,21.833," 5,637,073,408.00 ",USD," 54,615,915.00 ", 1.37 , 71.04 ," 43,648,624.00 "," 1,027.00 ",60.537%," 134,916,000.00 ",3.11%,97.77%,Health Information Services,,," 61,481,000.00 ",12," 94,581,000.00 ",24.83%,2, 2.74 , 2.00 , 14.00 ,23.81%, 19.21 ,buy,1.9,10.20%,16.43%,24.90%, 4.23 ,Technology,2," 62,261,200.00 ",7.40%," 4,592,038.00 "," 4,944,783.00 ",9.79%, 15.53 , 118.00 , 80.00 , 98.83 , 103.00 ," 302,916,992.00 ", 4.87 , -   ," 258,196,000.00 ", 0.99 
NTAP,226.84%,0.96%,138.05%, 2.89 ,4.88%,27.17%, 90.64 ,109.3%,15.2%,2, 2.00 ,10, 7.39 ,5, 85.12 , 2.06 ,90.635,123.4%,116.0%," 1,199,000,064.00 ",0.19771999,15.407,3.046," 18,472,783,872.00 ",USD," 258,964,908.00 ", 4.88 , 17.44 ," 847,625,024.00 "," 10,300.00 ",63.291%," 3,699,000,000.00 ",0.15%,98.40%,Data Storage,953769600,1-Feb," 228,000,000.00 ",20," 1,554,000,000.00 ",17.15%,8, 1.18 , 2.00 , 11.52 ,3.76%, 1.91 ,buy,2.3,7.03%,9.72%,11.60%, 22.80 ,Technology,4," 259,268,000.00 ",4.15%," 10,770,176.00 "," 12,355,744.00 ",6.02%, 4.24 , 105.00 , 60.00 , 86.50 , 90.00 ," 4,816,999,936.00 ", 18.58 ," 1,742,000,000.00 "," 6,064,000,000.00 ", 0.84 
