,payoutChange,divGrowth,payoutAvg, debtEquityAvg ,netMarginAvg,roicAvg
GSK,239.34%,0.54%,242.17%, (240.32),15%,384%
CL,14.90%,2.63%,74.62%, (99.03),13%,5598%
MAS,41.99%,3.35%,28.59%, (49.21),6%,585%
RACE,-11.39%,12.69%,24.80%, (46.63),13%,5098%
MSI,-133.51%,-0.72%,-34.22%, (31.70),6%,300%
MCO,145.52%,10.04%,67.92%, (30.23),19%,446%
LB,22.29%,21.38%,58.69%, (19.27),9%,2010%
TVPT,655.47%,103.93%,158.54%, (10.98),2%,0%
PBFX,-36.10%,-25.86%,75.94%, (10.61),45%,0%
HPQ,14.80%,-7.20%,32.41%, (5.43),6%,331%
W,0.00%,0.00%,0.00%, (5.22),-5%,-177%
AVP,-65.95%,0.67%,-9.22%, (4.85),-7%,0%
AZUL,328.51%,0.00%,-58.46%, (3.65),-4%,0%
NCMI,251.69%,4.36%,1026.16%, (3.52),3%,374%
PINC,42.63%,-4.76%,180.17%, (2.36),4%,436%
WYNN,-5.73%,-27.76%,144.30%, (2.31),7%,255%
INVA,362.92%,-38.80%,-154.57%, (2.26),24%,0%
EQGP,-14.88%,2.33%,71.88%, (1.15),32%,201%
NVEC,38.23%,31.30%,148.85%, 0.01 ,46%,22%
FNV,80.71%,11.92%,181.26%, 0.07 ,18%,48%
HQY,0.00%,0.00%,0.00%, 0.07 ,16%,131%
CWCO,12.99%,0.43%,81.33%, 0.07 ,10%,83%
GOLD,24.89%,34.89%,25.11%, 0.08 ,20%,12%
DMRC,0.00%,0.00%,0.00%, 0.08 ,-94%,-47%
ACTG,-58.09%,1.58%,-15.89%, 0.09 ,-43%,26%
IDRA,0.00%,0.00%,0.00%, 0.10 ,-9017%,-81%
LMNX,39.90%,0.00%,35.29%, 0.11 ,10%,183%
CGNX,12.25%,18.25%,14.30%, 0.11 ,31%,27%
MKTX,1.17%,26.90%,31.43%, 0.13 ,34%,175%
SWKS,35.55%,89.13%,18.95%, 0.13 ,27%,0%
AVX,903.22%,4.05%,556.34%, 0.14 ,6%,29%
CLRO,54.10%,35.50%,26.49%, 0.16 ,-6%,12%
DLB,12.45%,11.96%,25.64%, 0.18 ,18%,46%
OLED,20.65%,0.00%,18.57%, 0.19 ,21%,31%
JCS,-67.00%,-28.42%,-42.55%, 0.20 ,-10%,-81%
SILC,-7.66%,0.92%,44.56%, 0.20 ,17%,87%
GNTX,-4.08%,7.52%,28.77%, 0.20 ,21%,311%
MRVL,-1389.80%,-0.97%,195.31%, 0.20 ,-3%,30%
MPWR,38.65%,56.66%,66.67%, 0.20 ,13%,32%
RELL,-102.85%,-2.18%,-3.17%, 0.20 ,-2%,-60%
FANH,-18.09%,0.00%,61.08%, 0.21 ,8%,3%
CALM,26.17%,147.27%,38.27%, 0.21 ,6%,34%
INFY,5.78%,13.13%,48.78%, 0.22 ,22%,541%
BRKS,-57.78%,7.15%,64.94%, 0.23 ,0%,103%
JJSF,10.82%,14.08%,37.93%, 0.25 ,7%,81%
AAON,5.24%,12.50%,24.92%, 0.27 ,13%,244%
WETF,137.09%,102.71%,127.65%, 0.27 ,17%,120%
ZTO,-69.48%,0.00%,8.64%, 0.29 ,22%,285%
ASTE,3.69%,0.21%,23.05%, 0.29 ,4%,436%
RGLD,-181.24%,4.58%,-24.11%, 0.32 ,-8%,0%
MOV,-88.13%,5.93%,-7.16%, 0.33 ,4%,0%
GRMN,-14.66%,3.96%,77.41%, 0.33 ,19%,41%
PAAS,-14.08%,-8.46%,0.62%, 0.33 ,-2%,46%
BLCM,0.00%,0.00%,0.00%, 0.34 ,-28224%,-102%
ADTN,39.25%,-4.48%,73.90%, 0.35 ,4%,22%
SIMO,14.43%,17.74%,32.65%, 0.36 ,17%,2803%
CULP,5.51%,16.57%,18.45%, 0.36 ,6%,84%
TSM,19.96%,33.34%,46.01%, 0.37 ,35%,355%
BKE,28.95%,4.31%,44.87%, 0.37 ,11%,304%
CTSH,-1.19%,0.00%,17.00%, 0.39 ,12%,74%
LZB,9.95%,15.14%,24.72%, 0.46 ,5%,248%
ESCA,2.41%,7.78%,51.32%, 0.46 ,7%,0%
HOLI,-2.59%,-13.18%,11.41%, 0.46 ,19%,98%
ATNI,66.37%,3.56%,115.63%, 0.46 ,5%,435%
MKSI,-17.30%,3.10%,25.12%, 0.47 ,14%,147%
TER,-240.59%,15.14%,-21.96%, 0.47 ,7%,31%
TECH,0.62%,0.61%,48.60%, 0.47 ,18%,300%
NTES,-2.80%,25.14%,24.72%, 0.48 ,27%,33%
HP,-269.83%,5.08%,-231.83%, 0.50 ,1%,129%
DSW,33.62%,-1.46%,66.11%, 0.51 ,4%,100%
CTRN,31.88%,38.65%,22.32%, 0.51 ,2%,36%
JHG,72.04%,11.85%,85.70%, 0.53 ,24%,331%
LEJU,88.28%,0.00%,76.06%, 0.53 ,-13%,-2507%
CBOE,-3.76%,22.32%,35.74%, 0.54 ,25%,373%
WIT,-30.06%,-30.55%,18.97%, 0.55 ,16%,173%
BSET,-1.50%,14.91%,22.93%, 0.56 ,4%,111%
NICE,-6.11%,-24.87%,18.06%, 0.56 ,17%,73%
YUMC,-37.75%,0.00%,9.59%, 0.56 ,6%,362%
CATO,155.13%,-0.06%,173.42%, 0.57 ,4%,29%
EQM,8.32%,39.68%,61.10%, 0.57 ,53%,202%
GG,-305.86%,-44.68%,20.13%, 0.60 ,-24%,-49%
HL,-251.08%,3.38%,-5.94%, 0.62 ,-4%,269%
ASML,11.10%,25.40%,23.51%, 0.63 ,24%,153%
PXD,-219.78%,5.34%,-1.68%, 0.63 ,-3%,-1%
TXN,7.53%,16.99%,50.43%, 0.64 ,25%,200%
CAJ,12.54%,4.34%,85.13%, 0.64 ,5%,475%
BABA,0.00%,0.00%,0.00%, 0.65 ,41%,30%
BLFS,37.01%,0.00%,-2.76%, 0.67 ,-57%,0%
ADI,7.05%,9.98%,70.94%, 0.67 ,20%,36%
BKEP,21.75%,10.01%,24.30%, 0.68 ,4%,0%
GLW,-267.95%,3.60%,-20.94%, 0.70 ,16%,64%
SAP,1.56%,7.90%,39.35%, 0.71 ,16%,501%
TIF,18.85%,8.28%,52.81%, 0.71 ,10%,684%
LFUS,9.24%,14.48%,27.78%, 0.72 ,10%,1326%
RL,-185.24%,0.99%,-7.75%, 0.72 ,2%,93%
INTC,12.08%,4.81%,46.82%, 0.72 ,18%,102%
CVX,-270.06%,0.85%,-451.14%, 0.74 ,3%,-7%
AGN,-631.61%,123.78%,-7.45%, 0.74 ,36%,2%
NVS,33.88%,-1.56%,72.71%, 0.75 ,21%,54%
SNY,-16.45%,0.32%,69.99%, 0.76 ,16%,149%
MORN,-6.73%,8.88%,25.89%, 0.76 ,17%,207%
IMOS,94.46%,38.04%,70.36%, 0.78 ,11%,614%
DAKT,310.48%,-8.92%,396.72%, 0.78 ,1%,28%
STM,-23.12%,-14.72%,214.05%, 0.79 ,2%,111%
