Year,payoutRatio,debtEquityRatio,netMargin,roic,issuanceOfStock,dividendsPaid,Underlying
2017,0.250706448,0.251043309,0.134485924,,2259000,-13663000,AAON
2016,0.237485012,0.245908168,0.139008326,,2063000,-12676000,AAON
2015,0.259294087,0.301456533,0.127506748,2.435043983,2795000,-11857000,AAON
2014,0.218669324,0.304006113,0.123927234,2.627553444,1318000,-9656000,AAON
2017,0.264089678,1.799906003,0.210924208,0.246751889,555000000,-12769000000,AAPL
2016,0.265939983,1.508292462,0.211867983,0.276479611,495000000,-12150000000,AAPL
2015,0.216522456,1.432616983,0.228457737,0.385974229,543000000,-11561000000,AAPL
2014,0.281599595,1.078397447,0.216143768,0.371321475,730000000,-11126000000,AAPL
2017,0.738816087,1.883595384,0.064496386,2.426491994,163000000,-1635000000,ABB
2016,0.860979463,1.889137738,0.056136928,1.556149733,192000000,-1635000000,ABB
2015,0.702017589,1.820868725,0.054479862,1.873657289,107000000,-1357000000,ABB
2014,0.709714726,1.723338865,0.065126789,2.224576271,38000000,-1841000000,ABB
2017,0.773592014,12.88777712,0.188155656,4.131599379,254000000,-4107000000,ABBV
2016,0.624391063,13.25776531,0.232194399,3.098197038,268000000,-3717000000,ABBV
2015,0.640357698,12.44740177,0.225031716,54.66666667,155000000,-3294000000,ABBV
2014,1.5,14.79391504,0.088877756,46.61016949,232000000,-2661000000,ABBV
2017,0.878694264,16.10687196,0.002380011,,102923000,-320270000,ABC
2016,0.202024751,14.79667409,0.009723746,20.32458937,2435247000,-288477000,ABC
2015,-1.83779539,44.36602389,-0.001016205,11.20261354,105875000,-253919000,ABC
2014,0.782077089,10.00321631,0.002293485,,81565000,-214469000,ABC
2017,3.876310273,1.461371654,0.017415115,2.70718232,350000000,-1849000000,ABT
2016,1.099285714,1.555604246,0.067136623,1.053697749,248000000,-1539000000,ABT
2015,0.326249152,0.9391825,0.216760598,0.560878621,314000000,-1443000000,ABT
2014,0.587565674,0.90904023,0.112806836,3.972489684,429000000,-1342000000,ABT
2017,0.074346255,2.783323207,0.110047402,0.046363881,,-46041000,ACGL
2016,0.04052037,3.144424352,0.15519868,0.051642923,,-28070000,ACGL
2015,0.040796819,2.74386044,0.136599951,0.038144054,4861000,-21938000,ACGL
2014,0.026293364,2.564564871,0.20917061,0.0568013,6827000,-21938000,ACGL
2017,0.435027338,1.450329444,0.098855983,23.96038598,650261000,-1498734000,ACN
2016,0.333709883,1.643838162,0.125047187,23.8722284,567437000,-1372179000,ACN
