,industry,sector,currentPrice,payoutChange,divGrowth,payoutAvg, debtEquityAvg ,netMarginAvg,roicAvg,52WeekChange,SandP52WeekChange,overallRisk,auditRisk, beta ,boardRisk,bookValue,compensationRisk,currentRatio,debtToEquity,earningsGrowth,earningsQuarterlyGrowth, ebitda ,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue, enterpriseValue ,financialCurrency, floatShares ,forwardEps, freeCashflow ,fullTimeEmployees,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions, netIncomeToCommon ,numberOfAnalystOpinions, operatingCashflow ,operatingMargins,priceHint,priceToBook,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,totalCash,totalCashPerShare, totalDebt ,totalRevenue,trailingEps
MORN,Business Services,Industrials,138.42,-6.70%,8.90%,25.90%,0.76,17.30%,207.30%,70%,15%,4,2,0.78,6,20.438,7,1.711,14.345,-9.30%,-9.30%,"264,700,000.00",0.2732,21.614,5.905,"5,721,257,472.00",USD,"18,987,546.00",2.84,"156,187,504.00",5023,0.59077,525100000,0.56189,0.40701,"156,500,000.00",1,"277,600,000.00",0.20704001,2,6.7726784,0.16152,0.16152,1.582,hold,3,0.089449994,0.19434999,0.101,22.771,2,42636100,0.0039,168306,1531440000,199418,1.75,75,75,75,75,351900000,8.254,"125,000,000.00",968899968,3.642
BRO,Insurance Brokers,Financial Services,31.17,-11.10%,9.40%,24.40%,1.26,16.90%,1273.60%,32%,15%,1,1,0.88,6,10.252,2,1.232,30.619,13.00%,11.80%,"588,014,016.00",0.30618998,15.28,4.679,"8,985,100,288.00",USD,"232,590,710.00",1.35,"208,927,008.00",8491,0.46515,862618000,0.23626,0.05998,"428,168,000.00",12,"449,300,000.00",0.25105,2,3.0403824,0.22296,0.22296,0.793,hold,3,0.05488,0.16188999,0.016,6.926,1,279273984,0.014,3904083,1531440000,3814552,3.7,33,23,29.21,29,489088992,1.751,"866,958,976.00",1920386048,1.507
ATR,Packaging & Containers,Consumer Cyclical,108.42,-0.60%,4.00%,36.50%,1.24,8.80%,306.90%,28%,16%,2,1,0.65,1,21.694,4,3.012,93.109,-14.90%,-14.40%,"516,628,000.00",0.19392,14.026,2.72,"7,246,427,648.00",USD,"60,856,797.00",4.36,"107,692,128.00",13200,0.34697,865102000,0.00604,0.9411,"218,111,008.00",8,"330,316,000.00",0.13394,2,4.997695,0.081870005,0.081870005,2.241,hold,2.9,0.075780004,0.16419001,0.15,42.749,5,62183200,0.0254,1579279,1531440000,1355661,5.63,115,85,101.75,105,718091008,11.548,"1,254,656,000.00",2664178944,3.38
GNTX,Auto Parts,Consumer Cyclical,23.34,-4.10%,7.50%,28.80%,0.2,21.30%,311.50%,24%,15%,6,2,1.34,3,7.145,9,4.398,1.203,29.50%,23.10%,"623,316,352.00",0.34275,9.412,3.226,"5,866,862,080.00",USD,"268,407,696.00",1.8,"230,857,312.00",5481,0.38324,694528266,0.00369,0.88057,"440,971,968.00",9,"529,829,600.00",0.28498,2,3.2666202,0.24248,0.24248,3.298,hold,2.8,0.14219,0.22467,0.027,6.52,5,268916000,0.0517,13914567,1531440000,11581147,6.27,29,12.5,23.06,25,467719936,1.739,"23,125,000.00",1818599808,1.571
RACE,Auto Manufacturers,Consumer Cyclical,129.54,-11.40%,12.70%,24.80%,-46.63,12.90%,5097.80%,15%,15%,4,1,1.22,4,5.707,4,2.359,199.654,18.10%,17.90%,"1,145,307,648.00",0.28809,22.117,6.372,"25,330,546,688.00",EUR,"167,306,380.00",4.06,"260,212,208.00",3513,0.52611,1766030000,0.34306,0.41687,"679,985,984.00",10,"895,391,296.00",0.24069001,2,22.69844,0.17105,0.17105,1.819,buy,2.3,0.123950005,0.8122,-0.016,21.051,5,188646000,0.0146,3573502,1531440000,3274322,2.7,171.5,93.68,140.23,150.58,764567488,4.053,"2,158,800,128.00",3975464704,3.576
JNPR,Communication Equipment,Technology,27.5,-33.60%,26.00%,33.20%,0.98,10.30%,47.00%,0%,15%,6,5,1.15,6,12.644,6,2.27,48.389,-29.80%,-35.20%,"919,200,000.00",0.19214001,9.248,1.777,"8,500,310,528.00",USD,"337,250,895.00",2.04,"438,812,512.00",9341,0.59424996,3072100000,0.013839999,0.96454,"168,500,000.00",21,"856,200,000.00",0.14634,2,2.1749446,0.03522,0.03522,2.115,hold,2.9,0.04637,0.03546,-0.08,13.161,4,344795008,0.0545,18793389,1531440000,20220806,4.48,33,20,26.79,26.5,3122700032,9.057,"2,137,699,968.00",4784000000,0.462
CBOE,Financial Exchanges,Financial Services,104.04,-3.80%,22.30%,35.70%,0.54,25.20%,124.20%,-1%,15%,6,2,0.67,6,28.094,6,0.859,38.433,21.70%,22.00%,"781,600,000.00",0.29194,16.143,4.713,"12,617,750,528.00",USD,"110,642,417.00",4.85,"548,937,472.00",889,0.42853,995600000,0.00962,0.84790003,"514,000,000.00",14,"551,600,000.00",0.21843,2,3.7032819,0.19408001,0.19408001,0.84,buy,2.4,0.06824,0.17317,0.042,23.851,6,111819000,0.021,2351494,1531440000,2605189,2.99,120,100,108.79,109,271800000,2.431,"1,214,099,968.00",2677299968,4.555
MKSI,Scientific & Technical Instruments,Technology,83.55,-17.30%,3.10%,25.10%,0.47,13.60%,97.70%,-1%,15%,5,1,0.84,4,32.881,4,5.026,19.685,1.40%,2.00%,"598,889,024.00",0.28177,7.324,2.064,"4,386,341,376.00",USD,"54,180,351.00",9.15,"246,483,008.00",4923,0.47239,892611000,0.01556,0.93489,"381,615,008.00",8,"362,116,000.00",0.24389,2,2.540981,0.17954001,0.17954001,3.454,buy,1.6,0.13069001,0.23621,0.192,39.046,9,54791300,0.0153,836903,1531440000,1221912,1.28,155,118,129,125,631003008,11.516,"354,607,008.00",2125481984,6.912
INGR,Packaged Foods,Consumer Defensive,101.44,-3.00%,9.90%,30.70%,1.23,8.20%,7299.70%,-18%,15%,1,2,0.3,1,39.905,1,2.46,58.613,-11.80%,-12.30%,"1,075,000,064.00",0.18260999,8.004,1.462,"8,604,180,480.00",USD,"70,408,506.00",8.07,"336,375,008.00",11000,0.25004,1482000000,0.01168,0.88289,"519,000,000.00",7,"819,000,000.00",0.14642,2,2.5420375,0.08816,0.08816,1.431,hold,3,0.093389995,0.19104,0.027,81.707,2,71027200,0.024400001,1732388,1531440000,1953758,2.26,125,90,105.43,105,365000000,5.139,"1,674,000,000.00",5887000064,7.07
NTES,Internet Content & Information,Technology,188.79,-2.80%,25.10%,24.70%,0.48,26.60%,32.70%,-31%,15%,6,10,0.99,1,50.985,6,2.106,28.162,-28.00%,-29.10%,"1,343,585,024.00",0.15361,15.336,2.356,"20,605,495,296.00",CNY,"72,358,873.00",10,"669,559,424.00",18129,0.43257,25912693000,0.01523,0.52591,"1,014,064,512.00",30,"1,428,741,376.00",0.13063,2,3.7028537,0.11594,0.11594,1.62,buy,2.2,0.06683,0.15371999,0.217,66.713,1,131329000,0.0137,1802543,1531440000,2341900,1.78,373.6,254.04,294.63,288.91,6707442176,51.589,"1,934,312,576.00",8746429440,7.706
