,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
AAON,0.21472394,0.15590954,,,2.0,0.618397,,7.0,4.56,,4.0,40.0,2.158,1534291200,,-0.154,-0.152,76843000,0.18017,26.481,4.771,2034902784,USD,,40604496,1.41,28.368795,3924375,1991.0,,,0.25722998,123397000,0.22046,0.72485,Building Materials,,,1514678400,1405555200,3/2,,1,86400,,,1530316800,46438000,1577750400,2,60480000,0.14227,6.0,3.78,2,8.77193,,0.10888,0.10888,1.154,hold,3.0,0.12531,0.20358999,0.082,8.134,,Basic Materials,8.0,52264800,0.088999994,4653990,1531440000,4510687,0.1137,25.2,33.0,32.0,32.5,32.5,,,24329000,0.465,0,426497984,0.881,,
AAPL,0.40212977,0.15590954,,,1.0,1.256531,,2.0,23.735,,6.0,221.07,1.307,1534291200,99.696,0.401,0.321,78533001216,0.30764,14.166,4.358,1112492605440,USD,,4574761009,13.57,16.291084,41444749312,100000.0,,,0.38267,88186000000,0.00068000006,0.61332,Consumer Electronics,,,1506729600,1402272000,7/1,,1,86400,,,1530316800,56120000512,1569801600,35,73032998912,0.26599002,1.0,1.46,2,9.314094,,0.21983999,0.21983999,1.099,buy,2.0,0.12222999,0.45373002,0.173,50.626,,Technology,1.0,4829929984,0.0087,42160518,1531440000,42845978,0.0083,1.61,275.0,175.0,222.42,220.0,,,70969999360,14.694,114600001536,255273992192,11.038,,
ABB,-0.041186154,0.15590954,,,10.0,1.167149,,1.0,6.392,,8.0,23.61,1.153,1534291200,73.729,0.305,0.297,4796000256,0.13502,11.734,1.584,56275611648,USD,,1781056134,1.55,15.232259,1565124992,134800.0,,,0.30549,10354000000,0.0,0.05372,Diversified Industrials,,,1514678400,,,,1,86400,,,1530316800,2219000064,1577750400,4,3315000064,0.10504,6.0,2.96,2,3.6936796,,0.06242,0.06242,0.793,hold,2.8,0.05444,0.16712,0.051,16.645,,Industrials,1.0,2131779968,0.0011,2435195,1531440000,3809087,,1.17,25.0,21.0,23.18,23.37,,,4081999872,1.915,10453999616,35520000000,1.029,,
ABBV,0.053238392,0.15590954,,,2.0,1.593588,,5.0,-2.229,,2.0,93.24,0.804,1534291200,,0.057,0.036,12954000384,0.4186,13.634,5.707,176609067008,USD,,1513106708,8.94,10.42953,9331999744,30000.0,,,0.76081,21530000000,0.00090000004,0.71535003,Drug Manufacturers - Major,,,1514678400,,,,1,86400,,,1530316800,6418999808,1577750400,20,11365999616,0.36573002,6.0,0.75,2,,,0.2084,0.2084,0.554,buy,2.4,0.10998,4.89673,0.192,19.487,,Healthcare,9.0,1514269952,0.0215,32581503,1531440000,32287034,0.0234,4.5,157.0,78.0,109.45,106.0,,,3743000064,2.472,37752999936,30946000896,4.029,,
ABC,-0.0026091337,0.15590954,,,1.0,1.243545,,7.0,14.283,,2.0,85.21,0.94,1534291200,145.465,4.435,4.478,2384576000,0.01456,9.114,0.133,21732390912,USD,,158890156,7.15,11.917482,1802472064,19000.0,,,0.028800001,4544607000,0.26514,0.68546,Medical Distribution,,,1506729600,1245110400,2/1,,1,86400,,,1530316800,1080530048,1569801600,14,2126497024,0.011619999,4.0,1.34,2,5.9658337,,0.0066000004,0.0066000004,0.504,buy,2.3,0.03261,0.36960998,0.115,748.983,,Healthcare,5.0,216356992,0.0167,3615842,1531440000,4592223,0.0225,2.4,124.68,88.0,99.19,97.5,,,2388928000,11.042,4765353984,163762520064,4.876,,
ABT,0.28076923,0.15590954,,,2.0,1.74413,,8.0,17.43,,9.0,66.97,1.578,1534291200,67.914,1.595,1.59,6840000000,0.23128,19.589,4.53,133986476032,USD,,1740354902,3.23,20.733746,5040999936,99000.0,,,0.58428,15972000000,0.00719,0.74531,Medical Devices,,,1514678400,1357084800,10000/4798,,1,86400,,,1530316800,812000000,1577750400,16,5997000192,0.119729996,8.0,1.93,2,3.842226,,0.03131,0.03131,0.945,buy,1.8,0.03171,0.02634,0.17,16.892,,Healthcare,7.0,1754320000,0.0066000004,11652061,1531440000,11803752,0.0068,2.3,77.0,66.0,71.31,72.0,,,3264000000,1.861,20899999744,29575000064,0.522,,
ACGL,-0.0744974,0.15590954,,,2.0,0.566757,,6.0,20.711,,5.0,30.0,2.062,1534291200,24.85,0.333,0.316,962224000,0.17197001,15.422,2.652,14839085056,USD,,357600692,2.37,12.658229,-4758750,3140.0,,,0.30569,1884471000,0.031659998,0.92721003,Insurance - Diversified,,,1514678400,1529539200,3/1,,1,86400,,,1530316800,521294016,1577750400,12,1075968000,0.15108,4.0,7.05,2,1.4485056,,0.10277,0.10277,1.188,hold,2.6,0.01685,0.05732,0.002,13.788,,Financial Services,4.0,405299008,0.014199999,5764408,1531440000,5604386,0.0167,4.95,40.0,29.0,32.42,32.0,,,1840492032,4.547,2542448128,5595425792,1.246,,
ACN,0.2664342,0.15590954,,,1.0,0.948171,,6.0,15.287,,3.0,170.35,1.291,1534291200,0.284,0.526,0.558,6276057088,0.1627,16.696,2.716,104783380480,USD,,639505028,7.28,23.399725,4584448000,449000.0,,,0.31385002,11030492000,0.00209,0.73706,Information Technology Services,,,1504137600,1325203200,1/10,,1,86400,,,1527724800,3962835968,1567209600,24,5859315200,0.14738,3.0,2.47,2,11.1434555,,0.10273,0.10273,1.191,buy,2.3,0.1601,0.4361,0.163,61.955,,Technology,3.0,640748032,0.0113,7221518,1531440000,8430257,0.0117,3.82,190.0,127.0,171.96,170.5,,,3932105984,6.137,28798000,38573621248,6.243,,
ACTG,-0.1168831,0.15590954,,,5.0,0.723579,,8.0,4.705,,10.0,3.275,10.571,1534291200,,,,15756000,0.14499,2.061,0.299,32477464,USD,,43837283,-0.01,,27541124,13.0,,,0.36332,25549000,0.0429,0.60787,Business Services,,,1514678400,,,,1,86400,,,1530316800,-12236000,1577750400,1,39436000,-0.05296,10.0,2.44,3,0.69606805,,-0.11229,-0.11229,10.314,buy,2.0,-0.01397,-0.05232,-0.606,2.154,,Industrials,6.0,49495100,0.0232,1148212,1531440000,1164804,0.0235,8.95,6.5,6.5,6.5,6.5,,,134844000,2.724,0,108669000,-0.242,,
ADI,0.13636363,0.15590954,,,1.0,1.147474,,8.0,29.209,,8.0,91.02,1.581,1534291200,60.382,5.111,5.014,2775534080,0.45163,14.666,6.623,40704782336,USD,,370246470,5.93,15.349072,1932180608,15300.0,,,0.68141997,3420314000,0.00387,0.90351,Semiconductors,,,1509148800,953164800,2/1,,1,86400,,,1533340800,1404416000,1572220800,21,2338604032,0.32348,8.0,1.51,2,3.1161628,,0.22945,0.22945,1.108,buy,2.0,0.05964,0.13572,0.097,16.624,,Technology,9.0,371670016,0.0211,7855257,1531440000,7889346,0.0212,4.24,120.0,95.0,108.95,110.0,,,772574976,2.079,6555246080,6145525760,3.755,,
ADM,0.14922607,0.15590954,,,2.0,0.890953,,4.0,33.47,,3.0,49.89,1.591,1534291200,40.623,1.083,1.051,2732999936,0.04304,12.597,0.542,34427650048,USD,,546303700,3.61,13.819944,267500000,31000.0,,,0.06004,3506000000,0.0028900001,0.78616995,Farm Products,,,1514678400,999129600,105/100,,1,86400,,,1530316800,1939000064,1577750400,11,1112000000,0.02815,1.0,-1.65,2,1.4905885,,0.030539999,0.030539999,0.358,buy,2.3,0.02917,0.107650004,0.142,112.573,,Consumer Defensive,1.0,559737024,0.0184,10317571,1531440000,9421576,0.020599999,2.8,57.0,50.0,53.73,54.0,,,851000000,1.52,7623000064,63490998272,3.425,,
ADP,0.37126875,0.15590954,,,1.0,0.888811,,2.0,7.884,,2.0,147.13,1.054,1534291200,57.88,-0.584,-0.591,2918099968,0.21898001,21.969,4.811,64108982272,USD,,437381824,5.91,24.895094,2205724928,57000.0,,,0.43207002,5757700000,0.0015,0.8074,Business Services,,,1530316800,1412121600,1139/1000,,1,86400,,,1530316800,1620800000,1593475200,14,2515200000,0.19065,1.0,1.94,2,18.661848,,0.12163,0.12163,0.137,buy,2.4,0.04276,0.4359,0.083,30.245,,Industrials,2.0,438083008,0.0092,4045678,1531440000,3813700,0.0091,2.0,175.0,134.0,148.36,146.5,,,2173299968,4.961,2002400000,13325800448,3.66,,
