,Underyling,quarter,payoutChange,divGrowth,payoutAvg,debtEquityAvg,netMarginAvg
2017-12-31,GSB,2017-12-31,0.6877357256057713,0.1263383029085853,0.5052231806986582,0.6989700826537621,0.0992544365687717
2016-12-31,GSB,2016-12-31,0.6877357256057713,0.1263383029085853,0.5052231806986582,0.6989700826537621,0.0992544365687717
2015-12-31,GSB,2015-12-31,0.6877357256057713,0.1263383029085853,0.5052231806986582,0.6989700826537621,0.0992544365687717
2014-12-31,GSB,2014-12-31,0.6877357256057713,0.1263383029085853,0.5052231806986582,0.6989700826537621,0.0992544365687717
2017-12-31,GSB,2017-12-31,0.6877357256057713,0.1263383029085853,0.5052231806986582,0.6989700826537621,0.0992544365687717
2016-12-31,GSB,2016-12-31,0.6877357256057713,0.1263383029085853,0.5052231806986582,0.6989700826537621,0.0992544365687717
2015-12-31,GSB,2015-12-31,0.6877357256057713,0.1263383029085853,0.5052231806986582,0.6989700826537621,0.0992544365687717
2014-12-31,GSB,2014-12-31,0.6877357256057713,0.1263383029085853,0.5052231806986582,0.6989700826537621,0.0992544365687717
2017-06-30,ISR,2017-06-30,0.07360256326768704,0.011537496864810612,-0.0023694712728247924,0.12260671213119052,-1.0270930069556687
2016-06-30,ISR,2016-06-30,0.07360256326768704,0.011537496864810612,-0.0023694712728247924,0.12260671213119052,-1.0270930069556687
2015-06-30,ISR,2015-06-30,0.07360256326768704,0.011537496864810612,-0.0023694712728247924,0.12260671213119052,-1.0270930069556687
2014-06-30,ISR,2014-06-30,0.07360256326768704,0.011537496864810612,-0.0023694712728247924,0.12260671213119052,-1.0270930069556687
2017-12-31,AAON,2017-12-31,0.05244833956380598,0.12495932574254232,0.2491618489024731,0.2661360033982329,0.13366699933208004
2016-12-31,AAON,2016-12-31,0.05244833956380598,0.12495932574254232,0.2491618489024731,0.2661360033982329,0.13366699933208004
2015-12-31,AAON,2015-12-31,0.05244833956380598,0.12495932574254232,0.2491618489024731,0.2661360033982329,0.13366699933208004
2014-12-31,AAON,2014-12-31,0.05244833956380598,0.12495932574254232,0.2491618489024731,0.2661360033982329,0.13366699933208004
2017-09-30,AAPL,2017-09-30,-0.0032743097217923602,0.04699708705393594,0.24885070540002482,1.5802718161292422,0.21708330950079927
2016-09-24,AAPL,2016-09-24,-0.0032743097217923602,0.04699708705393594,0.24885070540002482,1.5802718161292422,0.21708330950079927
2015-09-26,AAPL,2015-09-26,-0.0032743097217923602,0.04699708705393594,0.24885070540002482,1.5802718161292422,0.21708330950079927
2014-09-27,AAPL,2014-09-27,-0.0032743097217923602,0.04699708705393594,0.24885070540002482,1.5802718161292422,0.21708330950079927
2017-12-31,ACGL,2017-12-31,0.45987075328968147,0.3065786243965556,0.05188781466521262,2.8905359994553237,0.13394867769406313
2016-12-31,ACGL,2016-12-31,0.45987075328968147,0.3065786243965556,0.05188781466521262,2.8905359994553237,0.13394867769406313
2015-12-31,ACGL,2015-12-31,0.45987075328968147,0.3065786243965556,0.05188781466521262,2.8905359994553237,0.13394867769406313
2014-12-31,ACGL,2014-12-31,0.45987075328968147,0.3065786243965556,0.05188781466521262,2.8905359994553237,0.13394867769406313
2017-12-31,ACTG,2017-12-31,-0.5809028390354253,0.015775390390990074,-0.1589267414831663,0.08695380909819284,-0.4316171507513249
2016-12-31,ACTG,2016-12-31,-0.5809028390354253,0.015775390390990074,-0.1589267414831663,0.08695380909819284,-0.4316171507513249
2015-12-31,ACTG,2015-12-31,-0.5809028390354253,0.015775390390990074,-0.1589267414831663,0.08695380909819284,-0.4316171507513249
2014-12-31,ACTG,2014-12-31,-0.5809028390354253,0.015775390390990074,-0.1589267414831663,0.08695380909819284,-0.4316171507513249
2017-10-28,ADI,2017-10-28,0.07054237111679285,0.09981635664982173,0.709384482557188,0.6716399685412258,0.1990351204837605
2016-10-29,ADI,2016-10-29,0.07054237111679285,0.09981635664982173,0.709384482557188,0.6716399685412258,0.1990351204837605
2015-10-31,ADI,2015-10-31,0.07054237111679285,0.09981635664982173,0.709384482557188,0.6716399685412258,0.1990351204837605
2014-11-01,ADI,2014-11-01,0.07054237111679285,0.09981635664982173,0.709384482557188,0.6716399685412258,0.1990351204837605
2018-06-30,ADP,2018-06-30,0.013726299074131884,0.04692112940382106,0.620880139607178,8.937853306783685,0.12985442753816462
2017-06-30,ADP,2017-06-30,0.013726299074131884,0.04692112940382106,0.620880139607178,8.937853306783685,0.12985442753816462
2016-06-30,ADP,2016-06-30,0.013726299074131884,0.04692112940382106,0.620880139607178,8.937853306783685,0.12985442753816462
2015-06-30,ADP,2015-06-30,0.013726299074131884,0.04692112940382106,0.620880139607178,8.937853306783685,0.12985442753816462
2017-12-31,ADTN,2017-12-31,0.3924622481130333,-0.044755648633767166,0.7390213571787808,0.35112870756805076,0.040714804445771545
2016-12-31,ADTN,2016-12-31,0.3924622481130333,-0.044755648633767166,0.7390213571787808,0.35112870756805076,0.040714804445771545
2015-12-31,ADTN,2015-12-31,0.3924622481130333,-0.044755648633767166,0.7390213571787808,0.35112870756805076,0.040714804445771545
2014-12-31,ADTN,2014-12-31,0.3924622481130333,-0.044755648633767166,0.7390213571787808,0.35112870756805076,0.040714804445771545
2017-12-31,AFSI,2017-12-31,-0.4665450287790527,0.42312832060804184,0.030562922249589158,8.045961444019731,0.038099511848262324
2016-12-31,AFSI,2016-12-31,-0.4665450287790527,0.42312832060804184,0.030562922249589158,8.045961444019731,0.038099511848262324
2015-12-31,AFSI,2015-12-31,-0.4665450287790527,0.42312832060804184,0.030562922249589158,8.045961444019731,0.038099511848262324
2014-12-31,AFSI,2014-12-31,-0.4665450287790527,0.42312832060804184,0.030562922249589158,8.045961444019731,0.038099511848262324
2017-12-31,AGNC,2017-12-31,-1.2939141511958885,-0.14484671479588318,2.7389264250251966,6.976777332386525,0.7932932061970334
2016-12-31,AGNC,2016-12-31,-1.2939141511958885,-0.14484671479588318,2.7389264250251966,6.976777332386525,0.7932932061970334
2015-12-31,AGNC,2015-12-31,-1.2939141511958885,-0.14484671479588318,2.7389264250251966,6.976777332386525,0.7932932061970334
