,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
GSB,Infinity,0.15987647,,,,0.676286,,,1.489,,,4.01,1.379,1534291200,,0.358,0.298,657000,0.01982,106.81,2.117,70173864,USD,,11750683,,,4852875,128.0,,,0.80901,27678000,0.38187,0.295,Software - Application,,,1514678400,,,,1,86400,,,1530316800,-259000,1577750400,,6394000,0.0124,,,2,2.6930828,,-0.0078100003,-0.0078100003,1.278,strong_buy,1.0,0.005,-0.0081,-0.002,1.52,,Technology,,21912500,0.0007,15148,1531440000,10260,0.0011,0.42,,,,,,,16225000,0.742,0,33153000,-0.02,,
GSB,Infinity,0.15987647,,,,0.676286,,,1.489,,,4.01,1.379,1534291200,,0.358,0.298,657000,0.01982,106.81,2.117,70173864,USD,,11750683,,,4852875,128.0,,,0.80901,27678000,0.38187,0.295,Software - Application,,,1514678400,,,,1,86400,,,1530316800,-259000,1577750400,,6394000,0.0124,,,2,2.6930828,,-0.0078100003,-0.0078100003,1.278,strong_buy,1.0,0.005,-0.0081,-0.002,1.52,,Technology,,21912500,0.0007,15148,1531440000,10260,0.0011,0.42,,,,,,,16225000,0.742,0,33153000,-0.02,,
ISR,-0.046249986,0.15987647,,,,1.690294,,,0.12,,,0.533,5.632,1535673600,,,,-6013000,-1.05677,-4.133,4.368,24853422,USD,,54684222,-0.09,-5.922222,-3965375,36.0,,,0.33445,838000,0.0075499997,0.05172,Medical Instruments & Supplies,,,1498780800,,,,1,86400,,,1522454400,-6208000,1561852800,3,-5477000,-1.08102,,,3,4.4416666,,-1.0891,-1.0891,4.949,buy,2.3,-0.34535998,-0.65705,0.227,0.103,,Healthcare,,67331104,0.0135,907928,1532995200,791915,0.0166,1.67,2.0,1.0,1.37,1.1,,,4515000,0.082,0,5690000,-0.113,,
AAON,0.20361996,0.15987647,,,2.0,0.618397,,7.0,4.56,,4.0,40.2,2.158,1534291200,,-0.154,-0.152,76843000,0.18017,26.481,4.771,2034902784,USD,,40604496,1.41,28.51064,3924375,1991.0,,,0.25722998,123397000,0.22046,0.72485,Building Materials,,,1514678400,1405555200,3/2,,1,86400,,,1530316800,46438000,1577750400,2,60480000,0.14227,6.0,3.78,2,8.81579,,0.10888,0.10888,1.154,hold,3.0,0.12531,0.20358999,0.082,8.134,,Basic Materials,8.0,52264800,0.088999994,4653990,1531440000,4510687,0.1137,25.2,33.0,32.0,32.5,32.5,,,24329000,0.465,0,426497984,0.881,,
AAPL,0.42692387,0.15987647,,,1.0,1.256531,,2.0,23.735,,6.0,223.84,1.307,1534291200,99.696,0.401,0.321,78533001216,0.30764,14.166,4.358,1112492605440,USD,,4574761009,13.57,16.49521,41444749312,100000.0,,,0.38267,88186000000,0.00068000006,0.61332,Consumer Electronics,,,1506729600,1402272000,7/1,,1,86400,,,1530316800,56120000512,1569801600,35,73032998912,0.26599002,1.0,1.46,2,9.430798,,0.21983999,0.21983999,1.099,buy,2.0,0.12222999,0.45373002,0.173,50.626,,Technology,1.0,4829929984,0.0087,42160518,1531440000,42845978,0.0083,1.61,275.0,175.0,222.42,220.0,,,70969999360,14.694,114600001536,255273992192,11.038,,
ACGL,-0.06008053,0.15987647,,,2.0,0.566757,,6.0,20.711,,5.0,30.4,2.062,1535673600,24.85,0.333,0.316,962224000,0.17197001,15.438,2.655,14855276544,USD,,357629028,2.37,12.827004,-4758750,3140.0,,,0.30569,1884471000,0.031659998,0.92721003,Insurance - Diversified,,,1514678400,1529539200,3/1,,1,86400,,,1530316800,521294016,1577750400,12,1075968000,0.15108,4.0,7.05,2,1.467819,,0.10277,0.10277,1.188,hold,2.6,0.01685,0.05732,0.002,13.788,,Financial Services,4.0,405299008,0.0163,6593487,1532995200,6241120,0.0191,7.31,40.0,29.0,32.42,32.0,,,1840492032,4.547,2542448128,5595425792,1.246,,
ACTG,-0.14814818,0.15987647,,,5.0,0.723579,,8.0,4.705,,10.0,3.35,10.571,1535673600,,,,15756000,0.14499,2.061,0.299,32477464,USD,,43873415,-0.01,,27541124,13.0,,,0.36332,25549000,0.0429,0.60787,Business Services,,,1514678400,,,,1,86400,,,1530316800,-12236000,1577750400,1,39436000,-0.05296,10.0,2.44,2,0.7120085,,-0.11229,-0.11229,10.314,buy,2.0,-0.01397,-0.05232,-0.606,2.154,,Industrials,6.0,49495100,0.024400001,1208592,1532995200,571920,0.0248,9.24,6.5,6.5,6.5,6.5,,,134844000,2.724,0,108669000,-0.242,,
ADI,0.084889054,0.15987647,,,1.0,1.147474,,8.0,29.209,,8.0,92.53,1.581,1534291200,60.382,5.111,5.014,2775534080,0.45163,14.666,6.623,40704782336,USD,,370246470,5.93,15.60371,1932180608,15300.0,,,0.68141997,3420314000,0.00387,0.90351,Semiconductors,,,1509148800,953164800,2/1,,1,86400,,,1533340800,1404416000,1572220800,21,2338604032,0.32348,8.0,1.51,2,3.1678593,,0.22945,0.22945,1.108,buy,2.0,0.05964,0.13572,0.097,16.624,,Technology,9.0,371670016,0.0211,7855257,1531440000,7889346,0.0212,4.24,120.0,95.0,108.95,110.0,,,772574976,2.079,6555246080,6145525760,3.755,,
ADP,0.37888312,0.15987647,,,1.0,0.888811,,2.0,7.884,,2.0,147.46,1.054,1534291200,57.88,-0.584,-0.591,2918099968,0.21898001,21.969,4.811,64108982272,USD,,437381824,5.91,24.950932,2205724928,57000.0,,,0.43207002,5757700000,0.0015,0.8074,Business Services,,,1530316800,1412121600,1139/1000,,1,86400,,,1530316800,1620800000,1593475200,14,2515200000,0.19065,1.0,1.94,2,18.703705,,0.12163,0.12163,0.137,buy,2.4,0.04276,0.4359,0.083,30.245,,Industrials,2.0,438083008,0.0092,4045678,1531440000,3813700,0.0091,2.0,175.0,134.0,148.36,146.5,,,2173299968,4.961,2002400000,13325800448,3.66,,
ADTN,-0.1644445,0.15987647,,,2.0,0.398078,,4.0,9.629,,4.0,18.75,2.934,1535673600,5.57,,,-10194000,-0.01818,-79.882,1.452,814321408,USD,,47383036,0.44,42.613636,-12374625,2060.0,,,0.41914,303660000,0.00682,0.99738,Communication Equipment,,,1514678400,1071532800,2/1,,1,86400,,,1530316800,-13696000,1577750400,6,-10028000,-0.04464,2.0,-23.23,2,1.9472427,,-0.024419999,-0.024419999,1.815,hold,2.7,-0.02391,-0.02905,-0.307,11.669,,Technology,2.0,47739200,0.0294,1404281,1532995200,1598186,0.034,6.49,21.0,15.0,17.0,16.5,,,106388000,2.229,25600000,560801984,-0.285,,
AFSI,0.1195066,0.15987647,,,10.0,1.080866,,8.0,13.316,,4.0,14.47,1.632,1535673600,47.155,,,-520908992,-0.088879995,-8.717,0.775,4540942848,USD,,109728475,1.6,9.04375,-2034032384,9300.0,,,0.09717,872649000,0.51779,0.42408,Insurance - Property & Casualty,,,1514678400,1454457600,2/1,,1,86400,,,1530316800,101927000,1577750400,2,-328996992,-0.11552,8.0,1.23,2,1.0866627,,0.0287,0.0287,0.515,hold,3.0,-0.01656,0.043959998,-0.131,29.846,,Financial Services,2.0,197576992,0.0356,7034231,1532995200,6923213,0.0642,15.73,14.75,14.75,14.75,14.75,,,987299968,4.997,1698099968,5860494848,0.519,,
AGNC,-0.112412155,0.15987647,,,2.0,-0.206679,,2.0,19.714,,9.0,18.89,0.249,1535673600,543.663,13.264,11.208,,0.0,,30.165,44041244672,USD,,476188255,2.34,8.07265,,56.0,,,1.0,841000000,0.0038100001,0.60882,REIT - Residential,,,1514678400,,,,1,86400,,,1530316800,1346000000,1577750400,7,991000000,0.95068,5.0,5.66,2,0.95820224,,0.95068,0.95068,0.242,hold,2.9,0.02138,0.16537,6.775,3.76,,Real Estate,3.0,477832000,0.0305,14580770,1532995200,15368068,0.0374,2.25,19.75,18.0,18.89,19.0,,,14627000320,30.611,49158000640,1460000000,3.46,,
ALGT,0.0065225363,0.15987647,,,2.0,0.087114,,8.0,40.446,,2.0,122.75,0.873,1534291200,176.325,0.042,0.02,367532992,0.23216999,7.829,1.818,2877267456,USD,,12557382,12.17,10.086278,-302615488,3840.0,,,0.33273998,521879000,0.20900999,0.88304,Airlines,,,1514678400,,,,1,86400,,,1530316800,205860000,1577750400,13,411446016,0.16841999,4.0,0.96,2,3.034911,,0.13185,0.13185,0.743,buy,2.1,0.080010004,0.37807,0.087,99.706,,Industrials,2.0,16160000,0.098400004,1590934,1531440000,1376540,0.1718,7.93,185.0,117.0,153.0,160.0,,,372160992,23.349,1136713984,1583040000,12.953,,
AMAT,-0.19063473,0.15987647,,,1.0,1.180005,,2.0,6.943,,1.0,39.1,2.519,1535673600,77.773,0.376,0.268,5319000064,0.3091,7.475,2.31,39758929920,USD,,973583302,4.41,8.866213,1561750016,20700.0,,,0.45466998,6532000000,0.00354,0.78720003,Semiconductor Equipment & Materials,,,1509235200,1019001600,2/1,,1,86400,,,1532822400,3419000064,1572307200,22,3239000064,0.28340998,1.0,0.52,2,5.6315713,,0.19869,0.19869,1.589,buy,1.9,0.16494,0.44,0.193,16.618,,Technology,3.0,982990976,0.0146,14385573,1532995200,14495208,0.0137,1.2,75.0,49.0,62.09,62.5,,,3984000000,4.053,5308000256,17208000512,3.265,,
AMGN,0.0882715,0.15987647,,,1.0,1.606026,,5.0,22.972,,1.0,200.58,3.389,1535673600,231.384,0.196,0.067,12510000128,0.5395,10.786,5.819,134931832832,USD,,646255850,14.51,13.82357,8549125120,20800.0,,,0.83306,18926000000,0.0019200001,0.8084,Biotechnology,,,1514678400,943228800,2/1,,1,86400,,,1530316800,2364000000,1577750400,19,11294999552,0.45894,1.0,2.62,2,8.7315,,0.10195,0.10195,2.936,buy,2.3,0.09033,0.10139,0.043,32.938,,Healthcare,1.0,647272000,0.0175,11321172,1532995200,9982793,0.017,5.28,228.0,179.0,204.26,205.0,,,29394999296,45.414,34496999424,23188000768,3.338,,
AMRB,Infinity,0.15987647,,,,0.319418,,,12.346,,,15.45,,1534291200,,0.086,-0.022,,0.0,,2.562,52694852,USD,,3747206,1.04,14.855769,,100.0,,,0.0,20499000,0.12555,0.53064,Banks - Regional - US,,,1514678400,1228089600,1/1,,1,86400,,,1530316800,3339000,1577750400,2,5019000,0.31288,,1.11,2,1.2514175,,0.16232,0.16232,,hold,2.7,0.0050700004,0.043569997,0.036,3.383,,Financial Services,,5823340,0.00029999999,1904,1531440000,2433,0.0004,0.65,17.75,16.0,16.88,16.88,,,54814000,9.413,15500000,20570000,0.546,,
AMSF,0.12985873,0.15987647,,,1.0,0.723836,,2.0,23.187,,1.0,64.8,2.059,1535673600,,0.089,0.095,82645000,0.21903999,13.512,2.96,1116730368,USD,,18870914,3.19,20.31348,-777034240,436.0,,,0.28511998,108373000,0.01761,1.03729,Insurance - Property & Casualty,,,1514678400,,,,1,86400,,,1530316800,50351000,1577750400,4,126996000,0.21655001,4.0,1.87,2,2.7946696,,0.13345,0.13345,1.533,buy,2.5,0.0328,0.108660005,0.061,19.665,,Financial Services,9.0,19260900,0.050300002,969748,1532995200,1030136,0.0586,12.75,70.0,61.0,66.75,68.0,,,127987000,6.663,0,377297984,2.611,,
AMTD,0.19956183,0.15987647,,,1.0,1.397752,,5.0,13.972,,2.0,55.71,1.131,1534291200,33.178,0.806,0.952,,0.0,,5.685,28095457280,USD,,272080569,3.94,14.139593,,9912.0,,,0.92695,3325000000,0.09184,0.92114997,Capital Markets,,,1506729600,931219200,3/1,,1,86400,,,1530316800,1230000000,1569801600,14,110000000,0.41926,4.0,0.55,2,3.98726,,0.24889,0.24889,1.128,buy,2.1,0.03638,0.18364,0.486,8.853,,Financial Services,8.0,567649984,0.019199999,10905041,1531440000,7919152,0.0414,5.07,77.0,60.0,68.32,68.25,,,6150000128,10.834,2632999936,4942000128,2.19,,
ANCX,0.0694499,0.15987647,,,10.0,0.902036,,3.0,20.883,,8.0,27.35,,1534291200,,1.274,1.33,,0.0,,6.481,793546752,USD,,14451519,1.86,14.704301,,415.0,,,0.0,109545000,0.26609,0.48981,Banks - Regional - US,,,1514678400,1135641600,2/1,,1,86400,,,1530316800,27095000,1577750400,5,23253000,0.34649,8.0,2.03,2,1.3096778,,0.22129999,0.22129999,,buy,2.5,0.00954,0.06382,-0.022,5.954,,Financial Services,9.0,20797400,0.0286,594368,1531440000,568965,0.0392,12.38,31.0,29.0,30.4,31.0,,,124934000,6.007,338856000,122435000,1.318,,
APOG,0.081591845,0.15987647,,,1.0,1.642023,,4.0,18.585,,7.0,48.84,1.68,1535673600,40.897,-0.033,-0.045,169643008,0.12201,9.262,1.13,1571304192,USD,,26048759,3.96,12.333333,69712000,6700.0,,,0.24738,333518000,0.025880001,1.0067401,Building Materials,,,1520035200,856224000,2/1,,1,86400,,,1527897600,78757000,1583193600,4,146894000,0.08068,5.0,1.12,2,2.6279259,,0.05664,0.05664,1.035,buy,1.8,0.077259995,0.15651,0.236,49.012,,Basic Materials,6.0,28271500,0.0834,2358396,1532995200,2535484,0.098400004,19.86,60.0,52.0,55.5,55.0,,,24014000,0.849,214540000,1390397056,2.742,,
