,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
USAT,0.9818181,0.15987647,,,5.0,1.070315,,5.0,2.101,,4.0,10.7,1.342,1534291200,32.24,,7.529,9627000,0.07507,91.073,6.837,876761408,USD,,51934764,0.12,89.166664,6205250,129.0,,,0.27985,26646000,0.083129995,0.75631,Software - Infrastructure,,,1498780800,1140134400,1/100,,1,86400,,,1522454400,-11994000,1561852800,4,6213000,0.01622,4.0,6.82,2,5.0928125,,-0.088319995,-0.088319995,1.039,buy,1.6,0.00927,-0.12521,0.354,2.649,,Technology,4.0,60000900,0.0792,4252841,1531440000,4379813,0.082100004,8.13,17.0,13.0,15.5,16.0,,,17107000,0.319,37370000,128244000,-0.248,,
RARE,0.5982261,0.15987647,,,2.0,3.043073,,1.0,14.047,,5.0,86.8,9.156,1534291200,,,,-350084992,0.0,-10.535,141.405,3688258816,USD,,46958141,-6.49,-13.374423,-175653744,520.0,,,0.0,-229033000,0.06458,1.00393,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-183432992,1577750400,18,-309372000,-14.029599,4.0,-1.14,2,6.1792555,,0.0,0.0,8.548,buy,2.0,-0.3509,-0.32368,,0.568,,Healthcare,8.0,50182400,0.097200006,4878873,1531440000,4977621,0.1369,11.14,100.0,49.0,81.78,88.5,,,547132032,10.903,0,26083000,-3.994,,
PHH,-0.17123288,0.15987647,,,5.0,1.130249,,7.0,15.01,,10.0,10.88,6.728,1534291200,125.767,,,,0.0,,1.135,515461184,USD,,27800584,-0.91,-11.956044,,1365.0,,,0.75771004,345000000,0.01227,0.85772,Specialty Finance,,,1514678400,,,,1,86400,,,1530316800,-185000000,1577750400,1,361000000,-0.28194,9.0,-1.76,2,0.7248501,,-0.37225,-0.37225,3.772,hold,3.0,-0.07452,-0.22086,0.129,12.443,,Financial Services,6.0,32581200,0.0153,499922,1531440000,543281,0.0174,4.17,11.0,11.0,11.0,11.0,,,455000000,13.965,615000000,454000000,-4.632,,
FIT,-0.14024389,0.15987647,,,5.0,1.368275,,8.0,2.771,,9.0,5.51,1.892,1534291200,,,,-141110000,-0.09342,-6.094,0.569,859870016,USD,,199271425,-0.24,-22.958334,-10469500,1750.0,,,0.43462002,690901000,0.057290003,0.66963995,Scientific & Technical Instruments,,,1514678400,,,,1,86400,,,1530316800,-358017984,1577750400,12,3796000,-0.12726,10.0,-1.32,2,1.988452,,-0.23702,-0.23702,1.543,hold,3.0,-0.0863,-0.44632,-0.153,6.34,,Technology,10.0,214090000,0.16530001,40557150,1531440000,35420209,0.1996,7.2,10.0,4.0,6.35,6.0,,,580462976,2.366,0,1510487040,-1.503,,
FIVN,1.1381519,0.15987647,,,2.0,0.652945,,9.0,2.051,,8.0,47.18,6.955,1534291200,172.34,,,10778000,0.04779,251.697,12.03,2712792576,USD,,55773761,0.54,87.37037,19369876,905.0,,,0.59037,117121000,0.03574,0.96796,Software - Infrastructure,,,1514678400,,,,1,86400,,,1530316800,-2356000,1577750400,11,24571000,0.00913,8.0,1.22,2,23.003412,,-0.01045,-0.01045,6.608,buy,2.4,0.0054,-0.031070001,0.281,3.986,,Technology,8.0,58304800,0.0523,3050715,1531440000,2319956,0.0543,3.69,50.0,25.0,39.82,41.0,,,274302016,4.705,205956992,225508992,-0.042,,
MPC,0.5694288,0.15987647,,,1.0,1.492788,,9.0,32.803,,1.0,84.34,1.6,1534291200,87.115,1.441,1.184,6579999744,0.088970006,8.259,0.735,54343393280,USD,,446264573,7.4,11.397297,3041499904,43800.0,,,0.118719995,7964000000,0.58337003,0.0,Oil & Gas Refining & Marketing,,,1514678400,1433980800,2/1,,1,86400,,,1530316800,4008000000,1577750400,13,6896999936,0.06033,7.0,0.28,2,2.5711062,,0.054229997,0.054229997,1.021,buy,1.6,0.057389997,0.22775999,0.224,153.757,,Energy,9.0,451004992,0.067600004,30491133,1531440000,28317507,0.064899996,7.2,116.0,87.0,98.77,95.0,,,4999000064,11.084,17266999296,73956999168,8.239,,
HSII,1.0293334,0.15987647,,,2.0,1.777691,,3.0,12.549,,2.0,37.15,1.409,1534291200,,,,68801000,0.10233,10.119,1.036,696220096,USD,,17061096,2.06,18.033981,55847500,1628.0,,,0.29691,187181000,0.029660001,0.92408997,Staffing & Outsourcing Services,,,1514678400,,,,1,86400,,,1530316800,-9406000,1577750400,3,46122000,0.08196,2.0,-1.85,2,2.9603953,,-0.013990001,-0.013990001,1.248,buy,2.5,0.065570004,-0.03908,0.203,35.703,,Industrials,4.0,18958700,0.0081,153316,1531440000,271229,0.0095,0.89,45.0,40.0,41.67,40.0,,,85825000,4.527,0,672310016,-0.501,,
JILL,-0.43059486,0.15987647,,,2.0,,,10.0,4.632,,6.0,6.11,1.65,1534291200,118.928,-0.179,-0.126,100383000,0.14101,4.319,0.609,433519264,USD,,13977093,0.71,8.605635,,1501.0,,,0.59505004,424880000,0.09132,0.82195,Apparel Stores,,,1517616000,,,,1,86400,,,1533340800,57085000,1580688000,9,,0.08956,10.0,1.79,2,1.3190846,,0.08019,0.08019,0.733,buy,2.4,0.0679,0.32991,-0.009,16.879,,Consumer Cyclical,6.0,43744000,0.0403,1764398,1531440000,1677748,0.126,5.72,10.0,6.0,7.67,7.5,,,62035000,1.418,240964000,711900992,1.298,,
FVE,Infinity,0.15987647,,,,-0.139553,,,2.297,,,0.86,0.719,1534291200,6.913,,,-13214000,-0.01181,-2.168,0.026,28649500,USD,,27012250,-0.85,-1.0117646,-54404752,24800.0,,,0.50562,585154000,0.54799,0.20474,Long-Term Care Facilities,,,1514678400,,,,1,86400,,,1530316800,-36452000,1577750400,1,-18773000,-0.044660002,,-0.06,2,0.37440142,,-0.03259,-0.03259,0.424,buy,2.5,-0.06973,-0.27206,-0.034,22.632,,Healthcare,,50582800,0.00059999997,29011,1531440000,24862,0.0011,0.57,2.5,2.5,2.5,2.5,,,30977000,0.612,8032000,1118660992,-0.737,,
AMRN,-0.0953846,0.15987647,,,,1.413185,,,-0.242,,,2.9,1.425,1534291200,,,,-69124000,-0.34949002,-13.961,4.879,965027456,USD,,267537040,-0.06,-48.333336,-18842376,241.0,,,0.75303,136152000,0.00685,0.38282,Biotechnology,,,1514678400,1200614400,1/10,,1,86400,,,1530316800,-91595000,1577750400,5,-42660000,-0.35292998,,-0.21,2,,,-0.46310002,-0.46310002,1.108,buy,1.6,-0.23311001,,0.164,0.706,,Healthcare,,293935008,0.024300002,7198761,1531440000,5772879,,2.02,10.0,5.0,7.6,7.0,,,102257000,0.348,117024000,197787008,-0.327,,
