,52WeekChange,debtEquityRatio,earningsGrowth,earningsQuarterlyGrowth,grossMargins,grossProfits,pegRatio,profitMargins,returnOnAssets,returnOnEquity,revenueGrowth,score,sector
VIRT,0.402879904,-0.214655665,8.392542786,8.42468126,0.253408896,-0.645296079,-2.036353027,-0.048742693,0.79264448,1.775320526,4.087952614,5.044794665,Financial Services
CRC,5.392223028,-1.328170592,-0.296609193,-0.319695954,0.699321828,-0.332364224,-5.085521539,-0.646539782,0.129114976,0.078588609,0.44760505,3.985637005,Energy
CRM,0.338162618,0.008244376,10.33476777,9.588593816,0.853508878,-0.080354946,-0.110251428,0.146013201,-0.147184009,0.146213199,0.477397393,3.750778278,Technology
GSK,-0.257193872,-10.73260796,-0.259239748,-0.256282599,0.537887518,1.625226793,-0.066456321,0.418443251,0.652887923,0.82993364,-0.232970159,3.349886835,Healthcare
CF,1.478916572,-0.098015129,7.284961491,7.101093072,-1.072692081,-0.25465586,-0.248464313,0.465630825,-0.548751505,-0.15089357,0.011735003,3.040697502,Basic Materials
ECYT,9.458648175,0.106345105,-0.259239748,-0.256282599,-0.580653695,-0.526915786,-0.149893925,0.328515861,-0.218516363,-0.018970764,-0.195865792,3.015697152,Healthcare
KNX,-0.852339757,-0.096166602,0.919218016,3.491407466,-0.659101857,-0.713396555,0.098328288,0.286264257,-0.092664103,-0.177138306,8.871062961,2.978593178,Industrials
BLDP,-0.18085547,-0.094452227,-0.379267518,-0.378552085,-0.168132122,-0.850884791,-9.483204419,-1.632810028,-2.862338287,-0.816296094,-0.348266957,2.889755567,Industrials
NKTR,1.260870581,0.109206097,-0.259239748,-0.256282599,1.020008553,-0.495675412,-0.276378956,1.399315157,2.006124875,1.142637129,6.917370162,2.695391285,Healthcare
VRTX,-0.154413679,0.114221677,7.984636394,7.929894095,0.066471112,-0.416017218,-0.10418925,0.58665978,0.695360889,0.394140709,-0.143027295,2.559054331,Healthcare
ENPH,5.996293443,-2.488930838,-0.271752907,-0.287312413,-1.363074315,-0.122849111,-0.114643947,-0.340331086,-0.424897637,0.08024273,-0.70481272,2.541100867,Technology
EBAY,-0.618771175,0.293904325,8.555719046,7.933815594,2.204348157,0.190000612,-0.110591131,-1.390840379,-0.115098387,-0.026858527,-0.189927313,2.521235788,Consumer Cyclical
AAXN,4.895894137,-0.096611299,2.330015653,2.207741314,1.570692388,-0.805279637,0.119662438,-0.363256885,-0.656155867,-0.446819058,0.243843734,2.482234128,Industrials
ETE,-0.42024133,-7.735565327,-0.175705616,-0.193110921,-1.204325328,0.044918796,0.111843474,-0.103746189,0.185809571,0.121981399,0.404462394,2.477412434,Energy
CVNA,4.054191673,1.921226849,-0.237508362,-0.235767393,-1.711694748,-0.361289851,-0.141201317,-0.642336704,-3.014566024,-0.27279891,4.576971077,2.204542952,Consumer Cyclical
BA,0.779875201,-6.23669593,-0.083709354,-0.135850065,-0.964763551,2.964666494,0.102164947,0.00231722,0.317858282,-0.577538393,-0.217479455,2.204405792,Industrials
PLNT,1.343750332,-4.760052117,0.088565019,0.183572069,0.985699047,-0.34327485,-0.082687969,0.655270067,0.236636396,0.027538373,0.27503733,2.183364256,Consumer Cyclical
KR,0.75069407,0.134640617,6.306180886,6.125613466,-0.837509892,0.941569784,0.080208273,-0.612568927,-0.543343359,-0.028276444,-0.402332349,2.146564572,Consumer Defensive
AMZN,1.37103147,0.430649227,4.246480718,4.349139551,-0.016840803,4.587339538,-0.080605643,-0.183141479,-0.30569294,0.133443836,1.031110273,2.099526292,Consumer Cyclical
EOG,0.128654894,0.109034905,5.139365579,5.160592094,0.326020637,-0.019290957,0.03479541,0.679179647,0.809450195,0.169960961,0.938352755,2.020847637,Energy
NRG,1.797470827,-3.588584301,-0.408163366,-0.46215972,-0.577824605,-1.586271928,-1.045323328,-0.880868967,0.29673123,-2.331951054,0.032283148,2.018499413,Utilities
HLF,1.453659243,0.020379572,-0.46535031,-0.568899732,0.782226683,-0.35176471,-4.863240416,-0.548096358,0.92660993,-0.320180333,0.136174026,1.989114601,Consumer Defensive
ETM,-0.964004249,0.085594532,-0.580480717,-0.475003454,-0.958587294,-0.350078502,-0.142658944,1.512810877,-0.437378823,0.130619368,7.439536014,1.984038486,Consumer Cyclical
ATHX,-0.213582835,0.109942481,-0.259239748,-0.256282599,-1.654272554,-0.526976098,-0.171151914,-1.415377769,-0.737690005,-0.196011097,6.33919958,1.975862144,Healthcare
TDOC,1.438414774,-0.044388612,-0.271752907,-0.287312413,0.741334828,-0.122206942,-0.112644101,-1.589914099,-0.614034381,-0.147141442,4.224780391,1.849491657,Technology
WWE,4.613637125,-0.0148753,0.082419938,0.133715119,0.296514476,-0.335211448,-0.021051133,0.082665211,0.483101701,0.121978931,0.703613437,1.811865644,Consumer Cyclical
HPQ,-0.18748925,-5.793410682,-0.090008742,-0.122900807,-1.675932372,-0.069959703,-0.11192987,0.217885561,0.398446352,0.08024273,-0.254234526,1.791202678,Technology
KMB,-0.450416032,-6.887211632,-0.356247187,-0.378106105,-0.171265398,-0.130150712,0.159715017,-0.004292492,1.03482516,3.3482315,-0.575644746,1.78172955,Consumer Defensive
HCLP,0.716551911,-0.17929163,0.087939721,0.207048193,0.132408593,-0.277788297,-0.903734861,0.986927455,1.379323589,0.477109433,3.251547306,1.71302181,Basic Materials
TROW,0.774053688,-1.045051855,-0.133584551,-0.120372426,0.641969907,-0.523950276,-3.439911331,0.531222373,3.019711997,0.710411865,-0.001211411,1.708073637,Financial Services
DNR,5.241654074,0.604296293,-0.147026163,-0.113596766,0.734614005,-0.369148159,0.055071216,0.292580847,-0.108945908,0.182880246,0.369408987,1.601556463,Energy
ADSK,-0.068498522,-4.834290175,-0.271752907,-0.287312413,1.484184989,-0.1231604,-0.10868012,-0.828889269,-0.537116613,-11.17782874,0.200804838,1.601174568,Technology
W,0.892511538,-2.567458831,-0.237508362,-0.235767393,-0.920221991,-0.277314841,-0.180557269,-1.029751348,-3.531799618,0.027538373,1.358607109,1.587208795,Consumer Cyclical
PBR,-0.226857767,0.285689607,5.490642017,5.470022176,-0.49570826,5.656912591,0.063181539,-0.063105471,0.283967376,0.09492389,-0.237284605,1.5592095,Energy
