,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
AAV.TO,-0.580402,0.15864205,,,2.0,1.255182,,6.0,7.031,,8.0,3.3,1.552,1536019200,19.111,,,163552000,0.83239996,5.286,4.4,864526976,CAD,,183561546,0.2,16.5,-134490880,29.0,,,0.63463,,,,Oil & Gas E&P,,,1514678400,,,,1,86400,,,1530316800,29260000,1577750400,15,171095008,0.25577,6.0,-18.56,2,0.46935,,0.14892,0.14892,0.762,buy,2.2,0.019340001,0.022669999,-0.316,1.056,,Energy,3.0,185942000,0.0783,14582833,1533081600,13576295,,11.66,7.0,3.25,5.53,5.75,,,3846000,0.021,250188992,196482000,0.153,,
ABT.TO,0.008010745,0.15864205,,,2.0,1.442919,,3.0,-1.406,,6.0,7.4,0.607,1536019200,,,,5996211,0.064050004,45.568,2.918,273233824,USD,,24605051,0.17,43.52941,19870880,495.0,,,0.84432,79046749,,,Software - Application,,,1530316800,1199232000,2/1,,1,86400,,,1530316800,3110853,1593475200,8,12549655,0.030739998,4.0,,2,,,0.03323,0.03323,0.58,hold,2.8,0.01842,,0.038,2.339,,Technology,6.0,40269800,0.0577,2301761,1533081600,2301322,,56.69,8.08,5.77,6.54,6.16,,,34329304,0.854,0,93621832,0.078,,
ABX.TO,-0.3434636,0.15864205,,,2.0,0.618074,,6.0,8.016,,1.0,13.71,2.118,1536019200,57.554,,,3531000064,0.45721,6.075,2.778,21451823104,USD,,1163960747,0.65,21.092308,1308999936,18421.0,,,0.35529998,3095000000,,,Gold,,,1514678400,,,,1,86400,,,1530316800,-261000000,1577750400,17,1770000000,0.30273,2.0,-5.14,2,1.7103294,,-0.033800002,-0.033800002,1.055,hold,2.9,0.05738,-0.03458,-0.207,6.621,,Basic Materials,3.0,1167160064,0.0047999998,5610238,1533081600,5558969,,2.32,18.0,11.0,14.26,14.0,,,2084999936,1.786,6392000000,7722999808,-0.23,,
AC.TO,0.17316759,0.15864205,,,2.0,0.758162,,2.0,14.341,,3.0,27.37,1.111,1536019200,179.37,,,2268000000,0.13260001,4.322,0.573,9802940416,CAD,,271328787,3.56,7.6882024,-594625024,29400.0,,,0.26508,4451000000,,,Airlines,,,1514678400,,,,1,86400,,,1530316800,1492999936,1577750400,14,2846000128,0.07343,1.0,0.58,2,1.9085141,,0.087290004,0.087290004,0.954,buy,1.7,0.04267,0.58502996,0.108,62.537,,Industrials,1.0,272745984,0.0092,2543970,1533081600,2603069,,2.24,42.0,22.5,33.68,33.5,,,4670000128,17.141,7008000000,17104000000,5.425,,
ACB.TO,2.964029,0.15864205,,,2.0,-0.934978,,10.0,2.453,,9.0,10.87,7.028,1536019200,15.089,,,-39732000,-0.94634,-118.86,112.481,4722526208,CAD,,537556825,0.06,181.16667,-149776432,171.0,,,0.68498003,16056000,,,Drug Manufacturers - Specialty & Generic,,,1498780800,,,,1,86400,,,1522454400,-12749000,1561852800,5,-31860000,-1.01772,10.0,,2,4.4313083,,-0.30366,-0.30366,5.37,buy,1.8,-0.02859,-0.01919,2.111,0.103,,Healthcare,9.0,951849024,0.0195,18467264,1533081600,27963072,,0.9,15.0,6.5,10.1,9.0,,,288432000,0.514,209255008,41985000,-0.034,,
ACQ.TO,-0.45101422,0.15864205,,,2.0,1.919012,,9.0,17.339,,8.0,12.61,1.102,1536019200,243.483,,,88831000,0.02895,17.217,0.498,1529360256,CAD,,23955355,1.44,8.756944,-164770368,4000.0,,,0.16558,518629000,,,Auto & Truck Dealerships,,,1514678400,,,,1,86400,,,1530316800,-7328000,1577750400,9,40943000,0.02237,9.0,0.38,2,0.7272622,,-0.00239,-0.00239,0.222,hold,2.9,0.024249999,-0.0066500003,-0.016,112.039,,Consumer Cyclical,6.0,27392300,0.053600002,1471386,1533081600,807206,,2.28,18.0,9.0,13.61,13.5,,,43483000,1.587,1206363008,3068704000,-0.268,,
AD.TO,-0.024821043,0.15864205,,,2.0,0.728701,,8.0,16.838,,9.0,20.49,1.746,1536019200,13.359,0.921,0.904,83193000,0.62896997,9.301,5.85,773816000,CAD,,34906835,1.73,11.84393,105678328,14.0,,,1.0,,,,Credit Services,,,1514678400,,,,1,86400,,,1530316800,9641000,1577750400,8,81316000,0.62698,8.0,1.49,2,1.2168905,,0.07289,0.07289,0.771,buy,2.4,0.06731,0.015310001,0.321,3.628,,Financial Services,6.0,36496200,0.0318,1163472,1533081600,1227609,,9.85,23.0,17.5,20.67,20.75,,,27621000,0.757,82096000,132268000,0.26,,
ADN.TO,0.0,0.15864205,,,2.0,0.224471,,7.0,16.505,,5.0,18.69,2.896,1536019200,33.48,-0.529,-0.529,23092000,0.27317,16.889,4.613,389992800,CAD,,16680855,0.86,21.73256,13893000,92.0,,,0.35741,28091000,,,Lumber & Wood Production,,,1514678400,,,,1,86400,,,1530316800,25924000,1577750400,5,19410000,0.2694,6.0,2.96,2,1.1323842,,0.30667,0.30667,2.818,hold,2.8,0.031040002,0.09563,0.124,5.052,,Basic Materials,3.0,16731200,0.0034999999,59300,1533081600,62500,,10.27,22.0,19.5,20.3,20.0,,,22866000,1.367,92456000,84533000,1.549,,
AEM.TO,-0.231588,0.15864205,,,2.0,0.800187,,5.0,21.144,,5.0,45.1,4.018,1536019200,34.933,-0.913,-0.909,866889984,0.38022,12.744,4.845,11047419904,USD,,232654939,0.83,54.33735,-477038624,5514.0,,,0.49719003,1187262000,,,Gold,,,1514678400,,,,1,86400,,,1530316800,162963008,1577750400,16,688788992,0.15187,4.0,10.99,2,2.1329927,,0.07147,0.07147,2.268,buy,2.1,0.0271,0.03332,0.012,9.821,,Basic Materials,1.0,233260992,0.0049,1147988,1533081600,1383803,,1.65,60.0,46.04,52.36,51.03,,,794427008,3.406,1722967040,2279979008,0.69,,
AEZS.TO,-0.16988409,0.15864205,,,,3.457892,,,0.578,,,2.1,4.044,1536019200,,,,7779000,0.30813998,1.938,0.597,15072819,USD,,16436321,-0.37,-5.6756754,4614000,,,,0.9922,923000,,,Biotechnology,,,1514678400,1447977600,1/100,,1,86400,,,1530316800,1707000,1577750400,1,1879000,0.3039,,,2,3.6332178,,0.06762,0.06762,3.637,buy,2.0,0.17082001,0.24384001,-0.309,1.55,,Healthcare,,16440800,0.0001,1100,1533081600,0,0.0001,0.21,4.0,4.0,4.0,4.0,,,19946000,1.213,0,25245000,0.092,,
