,ticker,numOfFirmsHoldingInTop10,numOfHolders,priorQDate,recQDate, priorQShares , recQShares ,fundNumPercentChange,fundsCreatingNewPos,fundsAddingPos,fundsClosingPos,fundsReducingPos
allFirms,AAAU,,,,,,,,,,,
hedgeFunds,AAAU,,,,,,,,,,,
allFirms,AAU,0,30,3/31/2018,6/30/2018,9888000,11680000,18.12,9,6,,
hedgeFunds,AAU,0,5,3/31/2018,6/30/2018," 2,941,000.00 "," 4,552,000.00 ",54.76,3,1,,
allFirms,ACWV,7,158,3/31/2018,6/30/2018,19429000,18326000,-5.68,58,16,56,
hedgeFunds,ACWV,1,7,3/31/2018,6/30/2018," 1,997,000.00 "," 1,936,000.00 ",-3.01,2,1,3,
allFirms,AEF,,,,,,,,,,,
hedgeFunds,AEF,,,,,,,,,,,
allFirms,AGG,158,823,3/31/2018,6/30/2018,397257000,399752000,0.63,53,332,52,345
hedgeFunds,AGG,7,40,3/31/2018,6/30/2018," 4,662,000.00 "," 3,846,000.00 ",-17.52,3,17,5,14
allFirms,AGT,,,,,,,,,,,
hedgeFunds,AGT,,,,,,,,,,,
allFirms,AKG,1,53,3/31/2018,6/30/2018,68642000,73393000,6.92,8,16,15,
hedgeFunds,AKG,1,13,3/31/2018,6/30/2018," 17,356,000.00 "," 18,293,000.00 ",5.4,2,4,5,
allFirms,ALD,,,,,,,,,,,
hedgeFunds,ALD,,,,,,,,,,,
allFirms,ALFA,,,,,,,,,,,
hedgeFunds,ALFA,,,,,,,,,,,
allFirms,ALN,9,299,3/31/2018,6/30/2018,90781000,93977000,3.52,54,122,39,78
hedgeFunds,ALN,4,51,3/31/2018,6/30/2018," 8,150,000.00 "," 10,724,000.00 ",31.59,20,15,11,12
allFirms,ALO,,,,,,,,,,,
hedgeFunds,ALO,,,,,,,,,,,
allFirms,AMJ,14,275,3/31/2018,6/30/2018,74119000,73118000,-1.35,29,89,29,106
hedgeFunds,AMJ,1,25,3/31/2018,6/30/2018," 7,169,000.00 "," 8,592,000.00 ",19.86,2,7,4,15
allFirms,AMLP,19,574,3/31/2018,6/30/2018,444225000,482122000,8.53,65,210,68,200
hedgeFunds,AMLP,4,52,3/31/2018,6/30/2018," 15,992,000.00 "," 19,708,000.00 ",23.23,13,14,9,18
allFirms,AMU,0,42,3/31/2018,6/30/2018,16853000,13444000,-20.23,16,,,
hedgeFunds,AMU,0,3,3/31/2018,6/30/2018," 1,647,000.00 "," 1,402,000.00 ",-14.85,2,,,
allFirms,APT,0,31,3/31/2018,6/30/2018,3268000,3378000,3.39,7,,,
hedgeFunds,APT,0,4,3/31/2018,6/30/2018," 1,500,000.00 "," 1,436,000.00 ",-4.27,3,,,
allFirms,ASM,7,317,3/31/2018,6/30/2018,71835000,72919000,1.51,45,99,44,110
hedgeFunds,ASM,1,35,3/31/2018,6/30/2018," 3,114,000.00 "," 2,812,000.00 ",-9.71,8,10,11,11
allFirms,AST,2,167,3/31/2018,6/30/2018,21153000,21300000,0.69,14,69,19,56
hedgeFunds,AST,1,16,3/31/2018,6/30/2018," 1,789,000.00 "," 1,606,000.00 ",-10.26,3,7,5,4
allFirms,ATNM,0,41,3/31/2018,6/30/2018,22528000,10954000,-51.38,13,6,8,8
hedgeFunds,ATNM,0,9,3/31/2018,6/30/2018," 18,220,000.00 "," 6,338,000.00 ",-65.21,3,2,3,4
allFirms,AUG,,,,,,,,,,,
hedgeFunds,AUG,,,,,,,,,,,
allFirms,AUGR,,,,,,,,,,,
hedgeFunds,AUGR,,,,,,,,,,,
allFirms,AUMN,,,,,,,,,,,
hedgeFunds,AUMN,,,,,,,,,,,
allFirms,AUSF,,,,,,,,,,,
hedgeFunds,AUSF,,,,,,,,,,,
allFirms,AXU,0,29,3/31/2018,6/30/2018,2814000,2451000,-12.89,5,10,6,3
hedgeFunds,AXU,0,6,3/31/2018,6/30/2018," 1,192,000.00 "," 1,341,000.00 ",12.52,2,2,1,1
allFirms,BBAX,,,,,,,,,,,
hedgeFunds,BBAX,,,,,,,,,,,
allFirms,BBCA,,,,,,,,,,,
hedgeFunds,BBCA,,,,,,,,,,,
allFirms,BGI,,,,,,,,,,,
hedgeFunds,BGI,,,,,,,,,,,
allFirms,BIKR,,,,,,,,,,,
hedgeFunds,BIKR,,,,,,,,,,,
allFirms,BJUL,,,,,,,,,,,
hedgeFunds,BJUL,,,,,,,,,,,
allFirms,BKC,,,,,,,,,,,
hedgeFunds,BKC,,,,,,,,,,,
allFirms,BKLN,30,360,3/31/2018,6/30/2018,232257000,231735000,-0.22,54,143,53,113
hedgeFunds,BKLN,3,19,3/31/2018,6/30/2018," 7,748,000.00 "," 7,307,000.00 ",-5.69,4,8,3,5
allFirms,BOND,,,,,,,,,,,
hedgeFunds,BOND,,,,,,,,,,,
allFirms,BRG,1,101,3/31/2018,6/30/2018,12168000,11581000,-4.83,11,34,4,37
hedgeFunds,BRG,1,15,3/31/2018,6/30/2018," 2,647,000.00 "," 1,896,000.00 ",-28.36,3,2,1,8
allFirms,BSCS,,,,,,,,,,,
hedgeFunds,BSCS,,,,,,,,,,,
allFirms,BSJQ,,,,,,,,,,,
hedgeFunds,BSJQ,,,,,,,,,,,
allFirms,BSV,67,613,3/31/2018,6/30/2018,210109000,223339000,6.3,49,215,53,260
hedgeFunds,BSV,4,23,3/31/2018,6/30/2018," 1,267,000.00 "," 1,016,000.00 ",-19.77,2,8,5,10
allFirms,BTG,,,,,,,,,,,
hedgeFunds,BTG,,,,,,,,,,,
allFirms,BTN,0,26,3/31/2018,6/30/2018,7695000,7982000,3.73,5,12,,
hedgeFunds,BTN,0,2,3/31/2018,6/30/2018," 3,550,000.00 "," 3,836,000.00 ",8.06,1,1,,
allFirms,BTX,2,105,3/31/2018,6/30/2018,56413000,54930000,-2.63,8,32,18,21
hedgeFunds,BTX,2,16,3/31/2018,6/30/2018," 34,179,000.00 "," 32,804,000.00 ",-4.02,1,3,6,7
allFirms,BVX,2,47,3/31/2018,6/30/2018,10342000,11755000,13.66,9,14,6,
hedgeFunds,BVX,1,6,3/31/2018,6/30/2018," 5,158,000.00 "," 5,618,000.00 ",8.91,2,2,1,
allFirms,BWX,9,216,3/31/2018,6/30/2018,35270000,34851000,-1.19,25,83,27,64
hedgeFunds,BWX,1,7,3/31/2018,6/30/2018," 1,989,000.00 "," 1,591,000.00 ",-20,1,3,3,3
allFirms,CAPE,,,,,,,,,,,
hedgeFunds,CAPE,,,,,,,,,,,
allFirms,CBON,,,,,,,,,,,
hedgeFunds,CBON,,,,,,,,,,,
allFirms,CCOR,,,,,,,,,,,
hedgeFunds,CCOR,,,,,,,,,,,
allFirms,CEF,6,188,3/31/2018,6/30/2018,55340000,39980000,-27.76,23,38,12,60
hedgeFunds,CEF,0,12,3/31/2018,6/30/2018," 10,176,000.00 "," 1,409,000.00 ",-86.16,1,1,1,6
allFirms,CEI,,,,,,,,,,,
hedgeFunds,CEI,,,,,,,,,,,
allFirms,CIK,0,47,3/31/2018,6/30/2018,8699000,6338000,-27.14,6,16,9,
hedgeFunds,CIK,0,6,3/31/2018,6/30/2018," 5,416,000.00 "," 2,137,000.00 ",-60.55,2,1,2,
allFirms,CN,,,,,,,,,,,
hedgeFunds,CN,,,,,,,,,,,
allFirms,CNXT,,,,,,,,,,,
hedgeFunds,CNXT,,,,,,,,,,,
allFirms,COM,,,,,,,,,,,
hedgeFunds,COM,,,,,,,,,,,
allFirms,CQH,2,59,3/31/2018,6/30/2018,39565000,17426000,-55.96,16,15,12,17
hedgeFunds,CQH,2,23,3/31/2018,6/30/2018," 25,048,000.00 "," 4,058,000.00 ",-83.8,9,1,6,10
allFirms,CQP,3,123,3/31/2018,6/30/2018,224442000,225539000,0.49,22,26,25,42
hedgeFunds,CQP,1,17,3/31/2018,6/30/2018," 6,605,000.00 "," 6,595,000.00 ",-0.16,3,3,3,8
allFirms,CRMD,1,33,3/31/2018,6/30/2018,8422000,8161000,-3.1,5,6,,
hedgeFunds,CRMD,0,5,3/31/2018,6/30/2018," 4,447,000.00 "," 4,249,000.00 ",-4.44,2,1,,
allFirms,CTEK,,,,,,,,,,,
hedgeFunds,CTEK,,,,,,,,,,,
allFirms,CVU,0,45,3/31/2018,6/30/2018,4903000,4852000,-1.04,15,15,,
hedgeFunds,CVU,0,6,3/31/2018,6/30/2018," 1,040,000.00 "," 1,130,000.00 ",8.66,3,3,,
allFirms,CYM,,,,,,,,,,,
hedgeFunds,CYM,,,,,,,,,,,
allFirms,DBC,6,204,3/31/2018,6/30/2018,79889000,49050000,-38.6,47,60,44,51
hedgeFunds,DBC,1,12,3/31/2018,6/30/2018," 2,191,000.00 "," 2,536,000.00 ",15.78,4,3,4,3
allFirms,DBEF,23,228,3/31/2018,6/30/2018,138159000,132830000,-3.86,61,23,88,
hedgeFunds,DBEF,1,12,3/31/2018,6/30/2018," 1,879,000.00 "," 1,154,000.00 ",-38.57,4,4,4,
allFirms,DESC,,,,,,,,,,,
hedgeFunds,DESC,,,,,,,,,,,
allFirms,DGAZ,1,14,3/31/2018,6/30/2018,8904000,10483000,17.73,1,,,
hedgeFunds,DGAZ,0,1,3/31/2018,6/30/2018," 8,155,000.00 "," 8,127,000.00 ",-0.34,1,,,
allFirms,DGSE,,,,,,,,,,,
hedgeFunds,DGSE,,,,,,,,,,,
allFirms,DIA,44,565,3/31/2018,6/30/2018,30978000,28576000,-7.75,45,156,54,199
hedgeFunds,DIA,5,31,3/31/2018,6/30/2018," 1,704,000.00 "," 1,153,000.00 ",-32.35,7,12,8,6
allFirms,DIAL,,,,,,,,,,,
hedgeFunds,DIAL,,,,,,,,,,,
allFirms,DRSK,,,,,,,,,,,
hedgeFunds,DRSK,,,,,,,,,,,
allFirms,DWMF,,,,,,,,,,,
hedgeFunds,DWMF,,,,,,,,,,,
allFirms,DXJ,31,300,3/31/2018,6/30/2018,62904000,59448000,-5.49,23,92,38,109
hedgeFunds,DXJ,5,21,3/31/2018,6/30/2018," 3,438,000.00 "," 2,908,000.00 ",-15.42,1,7,7,6
allFirms,EAD,2,64,3/31/2018,6/30/2018,17866000,19846000,11.08,16,7,17,
hedgeFunds,EAD,1,5,3/31/2018,6/30/2018," 4,967,000.00 "," 6,502,000.00 ",30.92,1,2,3,
allFirms,EDEN,,,,,,,,,,,
hedgeFunds,EDEN,,,,,,,,,,,
allFirms,EED,,,,,,,,,,,
hedgeFunds,EED,,,,,,,,,,,
allFirms,EEM,114,1041,3/31/2018,6/30/2018,566076000,464185000,-18,80,394,124,390
hedgeFunds,EEM,22,80,3/31/2018,6/30/2018," 60,749,000.00 "," 26,568,000.00 ",-56.27,15,22,21,32
allFirms,EEV,,,,,,,,,,,
hedgeFunds,EEV,,,,,,,,,,,
allFirms,EFA,211,1231,3/31/2018,6/30/2018,855948000,810674000,-5.29,66,513,69,478
hedgeFunds,EFA,11,77,3/31/2018,6/30/2018," 19,791,000.00 "," 15,542,000.00 ",-21.47,5,32,13,26
allFirms,EFAV,42,318,3/31/2018,6/30/2018,64346000,68135000,5.89,29,139,107,
