,ticker,numOfFirmsHoldingInTop10,numOfHolders,priorQDate,recQDate,priorQShares,recQShares,fundNumPercentChange,fundsCreatingNewPos,fundsAddingPos,fundsClosingPos,fundsReducingPos
allFirms,AAAU,,,,,,,,,,,
hedgeFunds,AAAU,,,,,,,,,,,
allFirms,AAU,0.0,30.0,2018-03-31,2018-06-30,9888000.0,11680000.0,18.12,9.0,6.0,,
hedgeFunds,AAU,0.0,5.0,2018-03-31,2018-06-30,2941000.0,4552000.0,54.76,3.0,1.0,,
allFirms,ACWV,7.0,158.0,2018-03-31,2018-06-30,19429000.0,18326000.0,-5.68,58.0,16.0,56.0,
hedgeFunds,ACWV,1.0,7.0,2018-03-31,2018-06-30,1997000.0,1936000.0,-3.01,2.0,1.0,3.0,
allFirms,AEF,,,,,,,,,,,
hedgeFunds,AEF,,,,,,,,,,,
allFirms,AGG,158.0,823.0,2018-03-31,2018-06-30,397257000.0,399752000.0,0.63,53.0,332.0,52.0,345.0
hedgeFunds,AGG,7.0,40.0,2018-03-31,2018-06-30,4662000.0,3846000.0,-17.52,3.0,17.0,5.0,14.0
allFirms,AGT,,,,,,,,,,,
hedgeFunds,AGT,,,,,,,,,,,
allFirms,AKG,1.0,53.0,2018-03-31,2018-06-30,68642000.0,73393000.0,6.92,8.0,16.0,15.0,
hedgeFunds,AKG,1.0,13.0,2018-03-31,2018-06-30,17356000.0,18293000.0,5.4,2.0,4.0,5.0,
allFirms,ALD,,,,,,,,,,,
hedgeFunds,ALD,,,,,,,,,,,
allFirms,ALFA,,,,,,,,,,,
hedgeFunds,ALFA,,,,,,,,,,,
allFirms,ALN,9.0,299.0,2018-03-31,2018-06-30,90781000.0,93977000.0,3.52,54.0,122.0,39.0,78.0
hedgeFunds,ALN,4.0,51.0,2018-03-31,2018-06-30,8150000.0,10724000.0,31.59,20.0,15.0,11.0,12.0
allFirms,ALO,,,,,,,,,,,
hedgeFunds,ALO,,,,,,,,,,,
allFirms,AMJ,14.0,275.0,2018-03-31,2018-06-30,74119000.0,73118000.0,-1.35,29.0,89.0,29.0,106.0
hedgeFunds,AMJ,1.0,25.0,2018-03-31,2018-06-30,7169000.0,8592000.0,19.86,2.0,7.0,4.0,15.0
allFirms,AMLP,19.0,574.0,2018-03-31,2018-06-30,444225000.0,482122000.0,8.53,65.0,210.0,68.0,200.0
hedgeFunds,AMLP,4.0,52.0,2018-03-31,2018-06-30,15992000.0,19708000.0,23.23,13.0,14.0,9.0,18.0
allFirms,AMU,0.0,42.0,2018-03-31,2018-06-30,16853000.0,13444000.0,-20.23,16.0,,,
hedgeFunds,AMU,0.0,3.0,2018-03-31,2018-06-30,1647000.0,1402000.0,-14.85,2.0,,,
allFirms,APT,0.0,31.0,2018-03-31,2018-06-30,3268000.0,3378000.0,3.39,7.0,,,
hedgeFunds,APT,0.0,4.0,2018-03-31,2018-06-30,1500000.0,1436000.0,-4.27,3.0,,,
allFirms,ASM,7.0,317.0,2018-03-31,2018-06-30,71835000.0,72919000.0,1.51,45.0,99.0,44.0,110.0
hedgeFunds,ASM,1.0,35.0,2018-03-31,2018-06-30,3114000.0,2812000.0,-9.71,8.0,10.0,11.0,11.0
allFirms,AST,2.0,167.0,2018-03-31,2018-06-30,21153000.0,21300000.0,0.69,14.0,69.0,19.0,56.0
hedgeFunds,AST,1.0,16.0,2018-03-31,2018-06-30,1789000.0,1606000.0,-10.26,3.0,7.0,5.0,4.0
allFirms,ATNM,0.0,41.0,2018-03-31,2018-06-30,22528000.0,10954000.0,-51.38,13.0,6.0,8.0,8.0
hedgeFunds,ATNM,0.0,9.0,2018-03-31,2018-06-30,18220000.0,6338000.0,-65.21,3.0,2.0,3.0,4.0
allFirms,AUG,,,,,,,,,,,
hedgeFunds,AUG,,,,,,,,,,,
allFirms,AUGR,,,,,,,,,,,
hedgeFunds,AUGR,,,,,,,,,,,
allFirms,AUMN,,,,,,,,,,,
hedgeFunds,AUMN,,,,,,,,,,,
allFirms,AUSF,,,,,,,,,,,
hedgeFunds,AUSF,,,,,,,,,,,
allFirms,AXU,0.0,29.0,2018-03-31,2018-06-30,2814000.0,2451000.0,-12.89,5.0,10.0,6.0,3.0
hedgeFunds,AXU,0.0,6.0,2018-03-31,2018-06-30,1192000.0,1341000.0,12.52,2.0,2.0,1.0,1.0
allFirms,BBAX,,,,,,,,,,,
hedgeFunds,BBAX,,,,,,,,,,,
allFirms,BBCA,,,,,,,,,,,
hedgeFunds,BBCA,,,,,,,,,,,
allFirms,BGI,,,,,,,,,,,
hedgeFunds,BGI,,,,,,,,,,,
allFirms,BIKR,,,,,,,,,,,
hedgeFunds,BIKR,,,,,,,,,,,
allFirms,BJUL,,,,,,,,,,,
hedgeFunds,BJUL,,,,,,,,,,,
allFirms,BKC,,,,,,,,,,,
hedgeFunds,BKC,,,,,,,,,,,
allFirms,BKLN,30.0,360.0,2018-03-31,2018-06-30,232257000.0,231735000.0,-0.22,54.0,143.0,53.0,113.0
hedgeFunds,BKLN,3.0,19.0,2018-03-31,2018-06-30,7748000.0,7307000.0,-5.69,4.0,8.0,3.0,5.0
allFirms,BOND,,,,,,,,,,,
hedgeFunds,BOND,,,,,,,,,,,
allFirms,BRG,1.0,101.0,2018-03-31,2018-06-30,12168000.0,11581000.0,-4.83,11.0,34.0,4.0,37.0
hedgeFunds,BRG,1.0,15.0,2018-03-31,2018-06-30,2647000.0,1896000.0,-28.36,3.0,2.0,1.0,8.0
allFirms,BSCS,,,,,,,,,,,
hedgeFunds,BSCS,,,,,,,,,,,
allFirms,BSJQ,,,,,,,,,,,
hedgeFunds,BSJQ,,,,,,,,,,,
allFirms,BSV,67.0,613.0,2018-03-31,2018-06-30,210109000.0,223339000.0,6.3,49.0,215.0,53.0,260.0
hedgeFunds,BSV,4.0,23.0,2018-03-31,2018-06-30,1267000.0,1016000.0,-19.77,2.0,8.0,5.0,10.0
allFirms,BTG,,,,,,,,,,,
hedgeFunds,BTG,,,,,,,,,,,
allFirms,BTN,0.0,26.0,2018-03-31,2018-06-30,7695000.0,7982000.0,3.73,5.0,12.0,,
hedgeFunds,BTN,0.0,2.0,2018-03-31,2018-06-30,3550000.0,3836000.0,8.06,1.0,1.0,,
allFirms,BTX,2.0,105.0,2018-03-31,2018-06-30,56413000.0,54930000.0,-2.63,8.0,32.0,18.0,21.0
hedgeFunds,BTX,2.0,16.0,2018-03-31,2018-06-30,34179000.0,32804000.000000004,-4.02,1.0,3.0,6.0,7.0
allFirms,BVX,2.0,47.0,2018-03-31,2018-06-30,10342000.0,11755000.0,13.66,9.0,14.0,6.0,
hedgeFunds,BVX,1.0,6.0,2018-03-31,2018-06-30,5158000.0,5618000.0,8.91,2.0,2.0,1.0,
allFirms,BWX,9.0,216.0,2018-03-31,2018-06-30,35270000.0,34851000.0,-1.19,25.0,83.0,27.0,64.0
hedgeFunds,BWX,1.0,7.0,2018-03-31,2018-06-30,1989000.0,1591000.0,-20.0,1.0,3.0,3.0,3.0
allFirms,CAPE,,,,,,,,,,,
hedgeFunds,CAPE,,,,,,,,,,,
allFirms,CBON,,,,,,,,,,,
hedgeFunds,CBON,,,,,,,,,,,
allFirms,CCOR,,,,,,,,,,,
hedgeFunds,CCOR,,,,,,,,,,,
allFirms,CEF,6.0,188.0,2018-03-31,2018-06-30,55340000.0,39980000.0,-27.76,23.0,38.0,12.0,60.0
hedgeFunds,CEF,0.0,12.0,2018-03-31,2018-06-30,10176000.0,1409000.0,-86.16,1.0,1.0,1.0,6.0
allFirms,CEI,,,,,,,,,,,
hedgeFunds,CEI,,,,,,,,,,,
allFirms,CIK,0.0,47.0,2018-03-31,2018-06-30,8699000.0,6338000.0,-27.14,6.0,16.0,9.0,
hedgeFunds,CIK,0.0,6.0,2018-03-31,2018-06-30,5416000.0,2137000.0,-60.55,2.0,1.0,2.0,
allFirms,CN,,,,,,,,,,,
hedgeFunds,CN,,,,,,,,,,,
allFirms,CNXT,,,,,,,,,,,
hedgeFunds,CNXT,,,,,,,,,,,
allFirms,COM,,,,,,,,,,,
hedgeFunds,COM,,,,,,,,,,,
allFirms,CQH,2.0,59.0,2018-03-31,2018-06-30,39565000.0,17426000.0,-55.96,16.0,15.0,12.0,17.0
hedgeFunds,CQH,2.0,23.0,2018-03-31,2018-06-30,25048000.0,4058000.0,-83.8,9.0,1.0,6.0,10.0
allFirms,CQP,3.0,123.0,2018-03-31,2018-06-30,224442000.0,225539000.0,0.49,22.0,26.0,25.0,42.0
hedgeFunds,CQP,1.0,17.0,2018-03-31,2018-06-30,6605000.0,6595000.0,-0.16,3.0,3.0,3.0,8.0
allFirms,CRMD,1.0,33.0,2018-03-31,2018-06-30,8422000.0,8161000.0,-3.1,5.0,6.0,,
hedgeFunds,CRMD,0.0,5.0,2018-03-31,2018-06-30,4447000.0,4249000.0,-4.44,2.0,1.0,,
allFirms,CTEK,,,,,,,,,,,
hedgeFunds,CTEK,,,,,,,,,,,
allFirms,CVU,0.0,45.0,2018-03-31,2018-06-30,4903000.0,4852000.0,-1.04,15.0,15.0,,
hedgeFunds,CVU,0.0,6.0,2018-03-31,2018-06-30,1040000.0,1130000.0,8.66,3.0,3.0,,
allFirms,CYM,,,,,,,,,,,
hedgeFunds,CYM,,,,,,,,,,,
allFirms,DBC,6.0,204.0,2018-03-31,2018-06-30,79889000.0,49050000.0,-38.6,47.0,60.0,44.0,51.0
hedgeFunds,DBC,1.0,12.0,2018-03-31,2018-06-30,2191000.0,2536000.0,15.78,4.0,3.0,4.0,3.0
allFirms,DBEF,23.0,228.0,2018-03-31,2018-06-30,138159000.0,132830000.00000001,-3.86,61.0,23.0,88.0,
hedgeFunds,DBEF,1.0,12.0,2018-03-31,2018-06-30,1879000.0,1154000.0,-38.57,4.0,4.0,4.0,
allFirms,DESC,,,,,,,,,,,
hedgeFunds,DESC,,,,,,,,,,,
allFirms,DGAZ,1.0,14.0,2018-03-31,2018-06-30,8904000.0,10483000.0,17.73,1.0,,,
hedgeFunds,DGAZ,0.0,1.0,2018-03-31,2018-06-30,8154999.999999999,8127000.000000001,-0.34,1.0,,,
allFirms,DGSE,,,,,,,,,,,
hedgeFunds,DGSE,,,,,,,,,,,
allFirms,DIA,44.0,565.0,2018-03-31,2018-06-30,30978000.0,28576000.0,-7.75,45.0,156.0,54.0,199.0
hedgeFunds,DIA,5.0,31.0,2018-03-31,2018-06-30,1704000.0,1153000.0,-32.35,7.0,12.0,8.0,6.0
allFirms,DIAL,,,,,,,,,,,
hedgeFunds,DIAL,,,,,,,,,,,
allFirms,DRSK,,,,,,,,,,,
hedgeFunds,DRSK,,,,,,,,,,,
allFirms,DWMF,,,,,,,,,,,
hedgeFunds,DWMF,,,,,,,,,,,
allFirms,DXJ,31.0,300.0,2018-03-31,2018-06-30,62904000.0,59448000.0,-5.49,23.0,92.0,38.0,109.0
hedgeFunds,DXJ,5.0,21.0,2018-03-31,2018-06-30,3438000.0,2908000.0,-15.42,1.0,7.0,7.0,6.0
