Symbol	Description
A.V	Armor Minerals Inc
AA.V	Alba Minerals Inc
AAAA.V	Auralite Investments Inc.
AAG.H.V	Aftermath Silver Ltd
AAL.V	Advantage Lithium Corp
AAN.V	Aton Resources Inc
AAO.V	Augusta Industries Inc
AAT.V	Ati Airtest Technologies Inc
AAX.V	Advance Gold Corp
AAZ.V	Azincourt Energy Corp.
ABI.V	Abcourt Mines Inc
ABM.V	Athabasca Minerals Inc
ABN.V	Aben Resources Ltd
ABRA.V	Abraplata Resource Corp
ABZ.V	Asiabasemetals Inc
ACE.H.V	Ace Aviation Holdings Inc
ACS.V	Archon Minerals Limited
ACST.V	Acasti Pharma Inc
ACU.V	Aurora Solar Technologies Inc
ADD.V	Arctic Star Exploration Corp
ADE.V	Adex Mining Inc
ADG.V	Arcus Development Group Inc
ADK.V	Diagnos Inc
ADYA.V	Adya Inc
ADZ.V	Adamera Minerals Corp
ADZN.V	Adventus Zinc Corp
AEC.V	Anfield Energy Inc.
AEL.H.V	Amseco Exploration Ltd
AEP.V	Atlas Engineered Products Ltd.
AET.V	Aethon Minerals Corporation
AFCC.V	Automotive Finco Corp
AFE.V	Africa Energy Corp
AFF.V	Affinity Metals Corp
AFM.V	Alphamin Resources Corp
AGB.V	Atlantic Gold Corp
AGB.WT.V	Atlantic Gold Corp Wts
AGC.V	Amarillo Gold Corp
AGD.V	Antioquia Gold Inc
AGG.V	African Gold Group Inc
AGL.V	Aguila American Gold Ltd
AGLD.V	Austral Gold Limited
AGM.V	Aldridge Minerals Inc
AGO.V	Aurcrest Gold Inc
AGRL.V	Aguia Resources Limited
AGZ.V	Ashanti Gold Corp
AHE.V	American Helium Inc.
AHI.V	Agility Health Inc
AHM.H.V	Antler Hill Mining Ltd
AHR.V	Amarc Resources Ltd
AHS.V	Alta Natural Herbs and S
AHU.V	Arctic Hunter Energy Inc
AIIM.V	Albert Mining Inc
AIS.V	Ais Resources Limited
AKH.V	Alaska Hydro Corp
AKR.V	Ackroo Inc
AL.V	Alx Uranium Corp
ALD.V	Aldever Resources Inc
ALEF.V	Aleafia Health Inc.
ALG.V	Algold Resources Ltd
ALL.H.V	Allante Resources Ltd
ALM.V	Alliance Mining Corp
ALT.V	Alturas Minerals Corp
ALTA.V	Altamira Gold Corp
ALTS.V	Altus Strategies Plc
ALV.V	Alvopetro Energy Ltd
ALY.V	Analytixinsight Inc
ALZ.V	Aldershot Resources Ltd
AME.V	Abacus Mining and Exploration
AMK.V	American Creek Resources Ltd
AMO.V	Altan Rio Minerals Limited
AMR.V	Am Resources Corp
AMX.V	AMEX Exploration Inc
AMY.V	American Manganese Inc
AMZ.V	Azucar Minerals Ltd.
AN.V	Arena Minerals Inc
ANE.V	Altan Nevada Minerals Limited
ANG.V	Angel Gold Corp
ANK.V	Angkor Gold Corp
ANL.H.V	Atlantic Industrial Minerals Inc
ANTL.V	Antler Gold Inc
ANZ.V	Alianza Minerals Ltd
AORO.V	Aloro Mining Corp
AOT.V	Ascot Resources Ltd
APC.V	Advanced Proteome Therapeutics Corp
APII.P.V	Apolo II Acquisition Corp
APL.V	Appulse Corp
APN.V	Altiplano Minerals Ltd
